"통계분류(1)",통계분류(2),2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023
"통계분류(1)",통계분류(2),쇼핑,식도락 관광,자연경관 감상,고궁/역사유적지방문,박물관 전시관 관람,전통문화체험,연수교육연구,기타,K-POP/한류스타 관련 공연장 방문,스포츠/레포츠 관람 및 참가,유흥/오락,뷰티/의료관광,업무수행,시찰,사례수,쇼핑,식도락 관광,자연경관 감상,고궁/역사유적지방문,박물관 전시관 관람,전통문화체험,연수교육연구,기타,K-POP/한류스타 관련 공연장 방문,스포츠/레포츠 관람 및 참가,유흥/오락,뷰티/의료관광,업무수행,시찰,사례수,쇼핑,식도락 관광,자연경관 감상,고궁/역사유적지방문,박물관 전시관 관람,전통문화체험,연수교육연구,지역 축제 참여,기타,K-POP/한류스타 관련 공연장 방문,드라마/영화 촬영지 방문,스포츠/레포츠 관람 및 참가,유흥/오락,뷰티/의료관광,시찰 (산업 시설 등),연극 뮤지컬 발레 등 공연 관람 및 지역 축제 참여,업무수행,사례수,쇼핑,식도락 관광,자연경관 감상,고궁/역사유적지방문,박물관 전시관 관람,전통문화체험,연수교육연구,지역 축제 참여,기타,K-POP/한류스타 관련 공연장 방문,드라마/영화 촬영지 방문,스포츠/레포츠 관람 및 참가,유흥/오락,시찰 (산업 시설 등),연극 뮤지컬 발레 등 공연 관람 및 지역 축제 참여,업무수행,쇼핑,식도락 관광,자연경관 감상,고궁/역사유적지방문,박물관 전시관 관람,전통문화체험,비즈니스 전문 활동,오락,유흥,K-POP/한류스타 관련 공연장 및 드라마/영화 촬영지 방문,뷰티/미용관광,연수교육연구,연극 뮤지컬 발레 등 공연 관람,치료/건강검진,지역 축제 참여,국제회의,스포츠/레포츠 참가,스포츠/레포츠 관람,기타
"국가",중국,95.1,92.4,68.2,37.7,18.7,17.8,4,0.7,14.4,3.9,16.9,9.1,11.9,1.2,79,67.1,69.6,13.9,2.5,2.5,0,22.8,0,0,1.3,2.5,2.5,54.4,1.3,745,72.1,58.4,20.9,8.6,7.1,4,43,0.8,2.4,2.1,1.1,2.4,4.3,8.5,1.1,2,38,841,80.3,77.8,37.9,18.2,12.5,6.4,25.8,2.9,1.5,5.6,3,5.4,7.7,0.2,3.6,35.4,69.2,72.3,44.5,18.4,12.4,5.4,12.9,11.2,5.3,14.6,7.4,9.4,2.4,7,1.9,4.9,1.9,1.9,5.8
"국가",홍콩,94.8,79.9,61,41.1,18.3,20.9,2,0.3,17.6,7.9,22,5.8,11.8,1.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,50,50,0,0,50,0,0,0,0,0,0,0,50,50,0,0,50,210,90,75.2,44.8,35.7,21.9,13.3,4.3,2.9,0.5,14.3,5.7,8.1,25.2,0.5,3.8,16.2,85.7,75.8,47.8,34.7,15.1,14,7.6,18.5,7.9,14.6,8.5,2.2,4.7,1.8,2.2,3.5,5.4,1.7,1.1
"국가",싱가포르,94.8,48.2,68.9,61.6,29.4,27,2.3,0.5,19,10.4,32.7,11,20.2,1.5,8,37.5,12.5,0,0,0,0,0,0,0,0,0,0,100,0,245,81.2,51.4,61.2,52.7,24.9,21.2,0,1.6,1.2,4.5,4.5,5.7,15.9,3.7,0.8,1.2,24.9,2044,90.7,72.1,70.1,53.6,26.1,27.5,2.5,1.8,0.4,6.2,5.9,6,23.9,0.2,2.3,16.6,87.5,66.7,70.4,58.3,28.9,23,9.1,24.2,11.6,9.2,9.6,2.4,8.1,2.1,4.1,2,9.3,1.3,1.6
"국가",대만,97.1,83,64.9,57,26.2,38.7,1.6,0.3,22.3,8.7,29,3.9,9.5,1.7,3,100,66.7,0,0,0,0,0,0,33.3,0,0,0,66.7,0,44,68.2,54.5,18.2,15.9,4.5,0,9.1,0,11.4,0,2.3,2.3,2.3,0,2.3,0,54.5,726,83.9,80,38.4,33.6,12.3,14,1.7,1.4,1,8.8,4,5,13.1,1.1,5.5,27.4,82.8,83.6,55.7,40.4,21.5,20.5,7.4,19.9,7.2,9.3,5.7,2,4,1.8,1.8,1.9,2.4,1,1
"국가",태국,97.2,47.3,69.4,66.5,40.3,44.6,6.8,0.1,25.3,8.4,38.1,9.5,9.4,4.8,1,100,0,0,0,0,0,0,0,0,0,0,0,100,0,27,74.1,29.6,29.6,11.1,3.7,7.4,7.4,11.1,25.9,3.7,0,0,7.4,18.5,0,0,40.7,522,94.4,76.6,60.9,43.3,21.8,18,3.3,6.3,0,14.2,12.3,2.5,20.5,0.8,2.1,10.5,86.8,57.1,62.9,45.2,19.3,14.1,8.2,17.9,8.4,8.5,11.2,4.5,2.9,6.8,5.9,2.2,3.2,2.2,1.3
"국가",말레이시아,96.7,55.1,79.4,72.8,35.6,42,3.6,0.1,18.5,13.2,26.1,14.7,13,0.7,4,75,50,100,50,0,0,0,0,25,0,0,0,50,0,42,64.3,19,42.9,33.3,16.7,14.3,21.4,0,0,2.4,4.8,0,7.1,0,0,0,73.8,413,91,51.3,59.3,57.1,30,37.3,5.3,3.4,0.7,7,7.7,8.5,17.9,1,4.4,36.3,86.1,66.1,69,66.3,33.9,30.8,15.3,27.2,13.2,10.7,10.5,4.7,8.1,0.8,4.1,7.7,5.9,1.9,0.9
"국가",호주,79.9,40.5,64.6,67.3,39.3,33.7,3,2.4,10.1,11.4,25.6,8.8,22.5,1.3,2,0,50,0,0,0,0,0,0,0,0,0,0,100,0,6,66.7,50,16.7,16.7,16.7,0,0,0,16.7,0,0,0,0,16.7,0,0,33.3,412,80.6,52.9,58,59,40.8,34.7,1.9,5.3,3.4,7.3,8.5,10.7,26.9,1.5,3.9,24.3,73.8,71.6,69,68.8,49.7,31.6,18.7,22.8,20.4,8.9,13.3,2.3,9.3,4.2,5.8,3.4,6,3.5,2.8
"국가",미국,79.2,34.9,60.1,61.3,36.8,29.3,7.6,1.9,10.9,9,24.5,9.6,35.5,2.1,117,37.6,26.5,20.5,10.3,6,5.1,4.3,6,0,2.6,9.4,4.3,66.7,3.4,887,53.7,22.2,35.9,31,15.4,12.2,5.3,0.8,8.1,2,2.4,2.4,7,6.3,0.1,1.5,53.9,2707,73,38.6,57.5,60.8,40.3,35.2,5.8,5,2.8,5.9,5.8,7,23.4,0.6,3.7,38.8,71.1,63.6,64.7,65.4,44.7,27,25.8,16.1,17.9,6.1,10.3,5.7,6.4,2.9,7.6,3,2.9,4,1.4
"국가",캐나다,82.8,41.8,64.2,72.2,39.3,32.3,4,2.5,10.5,9.1,21.4,12,22.6,1.8,17,23.5,0,17.6,5.9,0,0,5.9,41.2,0,5.9,5.9,11.8,29.4,0,40,45,15,30,22.5,25,2.5,0,5,17.5,0,0,2.5,5,5,0,5,55,300,76.7,46.3,67,70,39.7,39.3,5.7,5.3,2.3,8,8,9.7,30.7,1.3,5.3,25,78.7,71.3,68.7,70.9,45.3,29.1,14.6,18.2,16.5,9.3,8.3,4.9,7.7,4.5,8.6,5.1,7.6,5.1,5.5
"국가",영국,72.9,39.4,59.3,61.3,34.1,27.3,6.9,1.2,6.9,13.3,23.1,7.9,41.9,3.4,26,46.2,15.4,23.1,15.4,11.5,7.7,3.8,11.5,0,3.8,3.8,3.8,61.5,3.8,196,35.2,12.8,30.1,32.1,19.4,16.3,2.6,2,5.1,0.5,1,1.5,12.2,3.1,0.5,1,72.4,460,67.2,35.2,56.5,63.9,43.7,33.7,5.7,4.3,2.6,3.5,4.1,7,29.8,1.5,3.5,40.2,67.6,71.2,57.7,68.5,50.2,30.5,24.6,21.4,22.3,10.9,9.5,7.5,7.3,3.7,4.3,5.9,7.5,3.6,1.7
