"국적별(1)",국적별(2),2024.01,2024.01,2024.01,2024.01,2024.01,2024.01,2024.02,2024.02,2024.02,2024.02,2024.02,2024.02,2024.03,2024.03,2024.03,2024.03,2024.03,2024.03,2024.04,2024.04,2024.04,2024.04,2024.04,2024.04,2024.05,2024.05,2024.05,2024.05,2024.05,2024.05,2024.06,2024.06,2024.06,2024.06,2024.06,2024.06,2024.07,2024.07,2024.07,2024.07,2024.07,2024.07,2024.08,2024.08,2024.08,2024.08,2024.08,2024.08,2024.09,2024.09,2024.09,2024.09,2024.09,2024.09,2024.10,2024.10,2024.10,2024.10,2024.10,2024.10,2024.11,2024.11,2024.11,2024.11,2024.11,2024.11
"국적별(1)",국적별(2),계,관광,상용,공용,유학연수,기타,계,관광,상용,공용,유학연수,기타,계,관광,상용,공용,유학연수,기타,계,관광,상용,공용,유학연수,기타,계,관광,상용,공용,유학연수,기타,계,관광,상용,공용,유학연수,기타,계,관광,상용,공용,유학연수,기타,계,관광,상용,공용,유학연수,기타,계,관광,상용,공용,유학연수,기타,계,관광,상용,공용,유학연수,기타,계,관광,상용,공용,유학연수,기타
"미주",멕시코,1228,960,6,4,69,189,1319,938,1,1,200,179,3066,2752,6,10,24,274,2927,2566,6,14,13,328,2443,2082,4,11,47,299,2549,2239,5,9,65,231,3901,3597,4,3,45,252,8176,7087,6,4,296,783,8333,7449,8,9,47,820,10446,9516,4,8,13,905,8013,7246,4,11,41,711
"미주",미주 기타,2310,1807,17,34,109,343,2643,2006,14,14,259,350,5066,3531,11,29,45,1450,5878,4474,13,53,27,1311,4892,3874,21,33,64,900,4173,3060,14,32,71,996,4530,3479,10,36,87,918,4678,3226,21,50,365,1016,5684,4631,21,42,58,932,6786,5501,21,81,27,1156,4464,3720,19,37,55,633
"구주",소계,53031,33695,1096,255,1754,16231,54786,33941,700,123,5120,14902,108310,88651,777,223,1140,17519,132764,112320,781,218,551,18894,106695,85071,821,199,1842,18762,84560,65198,742,183,1443,16994,97810,79080,667,183,1415,16465,114651,86507,882,266,7953,19043,109677,89815,838,328,984,17712,127097,107205,856,208,551,18277,86956,67513,786,280,2209,16168
"구주",러시아,11508,5070,120,16,232,6070,10560,4209,86,1,628,5636,16707,10708,94,14,273,5618,19294,13006,118,7,48,6115,17310,10766,83,10,153,6298,15753,10104,69,3,149,5428,20899,14987,77,13,209,5613,18692,10880,110,13,1124,6565,18242,11720,103,21,277,6121,20870,14409,119,12,95,6235,14876,8789,96,27,218,5746
"구주",영국,6750,5153,116,37,103,1341,6905,5439,65,22,192,1187,15993,14831,56,19,60,1027,19068,17518,69,30,32,1419,13562,12222,56,19,67,1198,11417,10264,50,18,53,1032,11169,9854,54,19,53,1189,13458,11221,77,40,309,1811,13383,12011,81,33,31,1227,16646,15379,62,14,9,1182,10924,9762,58,23,55,1026
"구주",독일,6484,4563,221,30,290,1380,7210,5046,134,13,864,1153,18571,16684,123,16,130,1618,21296,19104,175,22,139,1856,15189,13076,157,16,308,1632,10066,7952,159,21,222,1712,10617,8817,152,25,258,1365,14477,11273,175,30,1350,1649,16795,15030,146,23,126,1470,17690,16017,134,12,113,1414,10618,8581,177,35,430,1395
"구주",프랑스,6380,4271,214,69,487,1339,8329,5664,135,33,1438,1059,12182,10388,184,57,342,1211,21993,20541,137,36,156,1123,17330,15178,172,56,634,1290,10989,9393,143,39,450,964,13994,12409,130,44,324,1087,18450,15149,170,77,1838,1216,14137,12583,159,61,188,1146,19038,17552,152,54,102,1178,12628,10655,145,58,528,1242
"구주",이탈리아,2573,2008,60,10,73,422,2312,1714,38,6,226,328,5789,4864,40,7,42,836,6581,5636,35,6,17,887,5563,4300,47,10,62,1144,4980,3775,41,8,68,1088,4626,3898,33,9,54,632,9306,8199,50,11,370,676,5703,4764,51,11,55,822,6790,5895,41,5,22,827,5403,4653,51,7,92,600
"구주",네덜란드,2456,1531,27,19,50,829,2597,1540,16,2,198,841,3950,2959,13,15,19,944,6566,5455,17,16,20,1058,5609,4440,14,19,57,1079,3664,2570,8,10,40,1036,5600,4540,11,10,61,978,5884,4319,16,12,356,1181,5191,3951,14,11,26,1189,5917,4709,17,6,23,1162,4364,3118,21,7,123,1095
"구주",우크라이나,1588,369,53,0,32,1134,1729,295,32,1,57,1344,2070,494,53,8,19,1496,1911,507,37,2,3,1362,1948,448,53,1,7,1439,1874,487,57,9,12,1309,1705,463,38,3,13,1188,1860,423,33,1,168,1235,2085,764,30,7,17,1267,2207,825,91,6,2,1283,1828,583,37,15,12,1181
"구주",스페인,1690,1207,27,17,110,329,1766,1314,23,11,214,204,4751,4382,19,12,49,289,3725,3426,16,11,26,246,3541,3104,22,11,145,259,3359,3016,15,13,86,229,4222,3882,13,8,68,251,7110,6386,25,10,398,291,4912,4566,21,17,37,271,5364,5027,12,15,68,242,4143,3680,14,9,239,201
"구주",루마니아,650,364,10,3,11,262,713,354,15,1,31,312,1811,1198,11,10,3,589,2122,1501,9,47,3,562,1619,1060,16,8,5,530,1177,681,7,6,5,478,1145,743,4,2,10,386,1360,892,7,2,47,412,1556,1134,11,51,9,351,1961,1417,11,2,5,526,1076,686,8,19,5,358
"구주",노르웨이,664,519,40,0,30,75,578,447,20,1,72,38,1431,1340,24,4,18,45,1034,954,21,2,10,47,857,752,23,0,18,64,1264,1181,18,6,7,52,1608,1544,9,5,15,35,826,635,18,3,117,53,1150,1071,18,1,15,45,1116,1055,11,4,8,38,918,784,17,8,44,65
"구주",스웨덴,1068,838,22,6,25,177,905,690,19,3,96,97,1887,1714,19,7,19,128,2208,2033,18,6,8,143,1716,1491,22,2,45,156,2312,2084,23,5,20,180,1844,1678,12,5,22,127,1444,1102,19,4,210,109,1955,1794,12,3,12,134,2381,2218,16,2,9,136,1650,1491,8,0,56,95
"구주",폴란드,1725,1170,19,3,34,499,1981,1174,18,0,115,674,3371,2669,10,3,18,671,5212,4242,8,2,7,953,4591,3548,9,2,38,994,3403,2371,14,2,45,971,3505,2494,22,1,41,947,4360,3244,10,3,190,913,5130,4106,13,6,23,982,4623,3455,17,17,17,1117,3700,2855,11,2,49,783
"구주",스위스,992,847,4,7,34,100,998,808,3,2,121,64,2653,2496,6,1,24,126,3026,2918,4,1,15,88,2459,2252,2,1,54,150,1797,1563,1,2,40,191,2717,2475,2,2,32,206,2350,1989,6,2,144,209,2767,2552,5,0,15,195,3306,3131,3,2,16,154,1613,1460,5,4,67,77
"구주",포르투갈,491,370,12,3,11,95,581,471,6,4,27,73,1379,1234,7,5,1,132,1581,1373,10,6,3,189,1235,1062,10,3,20,140,1068,910,5,4,10,139,991,822,7,4,4,154,1524,1271,8,6,51,188,1294,1144,8,7,6,129,1542,1371,8,8,1,154,1256,1083,10,13,14,136
"구주",오스트리아,836,630,8,3,24,171,775,585,3,1,60,126,1642,1407,6,4,12,213,1729,1555,6,2,5,161,1398,1228,6,2,24,138,974,814,5,2,25,128,1514,1351,5,2,18,138,1579,1372,8,3,71,125,1646,1516,11,2,5,112,1613,1399,12,4,7,191,1156,988,7,4,23,134
"구주",핀란드,867,537,11,1,22,296,927,484,6,2,157,278,1309,978,8,0,16,307,1399,1097,9,1,15,277,1357,1010,10,-,51,286,1322,995,9,1,50,267,992,676,6,1,33,276,964,519,7,-,148,290,1194,893,10,5,9,277,1475,1175,5,1,6,288,1155,811,8,1,38,297
"구주",벨기에,694,467,28,3,22,174,875,652,19,6,67,131,1612,1439,17,7,10,139,2440,2262,10,2,6,160,1874,1637,24,6,31,176,1373,1213,9,2,21,128,1973,1770,24,9,20,150,1754,1382,24,16,139,193,2213,2020,19,9,16,149,2332,2136,21,3,9,163,1482,1231,18,11,45,177
"구주",크로아티아,390,165,7,-,5,213,325,124,5,-,14,182,698,360,4,-,2,332,646,325,4,-,1,316,552,307,5,-,3,237,441,226,5,-,3,207,455,211,3,-,5,236,494,245,6,-,16,227,613,362,7,-,0,244,687,400,5,-,1,281,439,256,5,-,6,172
"구주",그리스,584,347,22,2,4,209,590,314,10,2,16,248,1096,840,8,2,3,243,1254,873,12,1,-,368,1071,745,13,1,4,308,768,483,9,1,9,266,869,561,9,-,2,297,1056,677,17,0,25,337,931,682,20,2,1,226,965,703,13,2,2,245,1023,795,11,1,9,207
"구주",불가리아,269,136,3,0,8,122,267,118,1,0,36,112,987,739,1,0,0,247,804,567,2,2,2,231,512,377,1,0,4,130,463,253,-,0,6,204,415,264,1,1,3,146,540,322,-,2,38,178,682,513,3,2,4,160,759,589,2,-,0,168,441,286,1,-,4,150
"구주",덴마크,746,565,20,3,30,128,615,448,16,1,63,87,1712,1571,22,1,6,112,1555,1404,13,0,5,133,1354,1211,18,3,20,102,1039,873,20,3,18,125,1670,1523,14,-,22,111,1345,1007,28,7,160,143,1501,1343,28,1,11,118,2055,1873,30,5,13,134,1286,1096,30,3,51,106
"구주",아일랜드,575,404,11,3,7,150,584,447,5,-,37,95,1279,1183,3,1,4,88,1276,1163,5,0,4,104,1252,1155,7,2,8,80,1065,970,10,0,7,78,965,860,4,1,10,90,1008,785,11,0,42,170,1239,1108,8,9,8,106,1449,1347,6,1,1,94,994,860,3,0,10,121
"구주",구주 기타,3051,2164,41,20,110,716,2664,1604,25,11,391,633,5430,4173,49,30,70,1108,6044,4860,46,16,26,1096,4796,3702,51,27,84,932,3992,3020,65,28,97,782,4315,3258,37,19,138,863,4810,3215,57,24,642,872,5358,4188,60,46,93,971,6311,5123,68,33,22,1065,3983,3010,45,33,91,804
"대양주",소계,20524,18072,69,39,35,2309,13247,10826,55,54,110,2202,27038,24440,62,44,14,2478,30726,28211,66,59,18,2372,24006,21480,45,71,33,2377,22758,20405,61,65,25,2202,19301,16872,59,52,35,2283,17798,15252,55,81,135,2275,26318,23585,74,123,19,2517,31945,29023,50,87,16,2769,24709,22133,49,76,45,2406
"대양주",오스트레일리아,17251,15505,56,29,30,1631,10972,9258,42,47,90,1535,22871,21056,53,40,10,1712,26522,24685,57,48,18,1714,20441,18609,39,55,29,1709,19348,17602,41,50,24,1631,16198,14371,49,38,28,1712,14755,12839,46,64,118,1688,22366,20357,64,110,9,1826,26742,24590,45,71,14,2022,20536,18736,39,57,39,1665
"대양주",뉴질랜드,3150,2491,13,4,2,640,2126,1505,10,3,15,593,3966,3273,9,3,3,678,3936,3400,7,2,-,527,3287,2691,5,5,3,583,3164,2624,18,7,0,515,2681,2147,10,2,7,515,2811,2250,7,1,7,546,3630,3008,10,2,6,604,4838,4153,5,3,2,675,3823,3139,8,6,6,664
"대양주",대양주 기타,123,76,-,6,3,38,149,63,3,4,5,74,201,111,-,1,1,88,268,126,2,9,-,131,278,180,1,11,1,85,246,179,2,8,1,56,422,354,-,12,0,56,232,163,2,16,10,41,322,220,-,11,4,87,365,280,-,13,-,72,350,258,2,13,-,77
"아프리카",소계,3788,990,341,68,223,2166,4612,1184,317,16,574,2521,5297,1471,346,57,305,3118,7326,2156,428,201,59,4482,6039,2158,411,307,105,3058,6146,2612,373,475,114,2572,5651,2528,380,77,165,2501,7775,2590,397,81,940,3767,7467,3528,482,109,305,3043,7086,3078,512,134,59,3303,5455,2363,506,161,88,2337
"아프리카",남아프리카공화국,1031,298,6,2,6,719,1406,382,7,1,13,1003,1356,590,3,4,6,753,1510,664,6,2,3,835,1196,490,1,0,3,702,1261,670,6,2,3,580,1304,626,4,2,7,665,2218,650,8,6,18,1536,1604,829,10,0,5,760,1655,793,3,2,5,852,958,464,7,2,4,481
"아프리카",아프리카 기타,2757,692,335,66,217,1447,3206,802,310,15,561,1518,3941,881,343,53,299,2365,5816,1492,422,199,56,3647,4843,1668,410,307,102,2356,4885,1942,367,473,111,1992,4347,1902,376,75,158,1836,5557,1940,389,75,922,2231,5863,2699,472,109,300,2283,5431,2285,509,132,54,2451,4497,1899,499,159,84,1856
"기타",소계,26,16,1,-,2,7,12,6,-,-,2,4,13,9,-,-,-,4,21,8,1,-,-,12,22,18,1,-,-,3,16,9,0,-,-,7,13,7,-,1,0,5,13,8,-,-,1,4,33,22,1,-,2,8,19,15,0,-,-,4,17,15,1,-,0,1
"기타",국적미상,26,16,1,-,2,7,12,6,-,-,2,4,13,9,-,-,-,4,21,8,1,-,-,12,22,18,1,-,-,3,16,9,0,-,-,7,13,7,-,1,0,5,13,8,-,-,1,4,33,22,1,-,2,8,19,15,0,-,-,4,17,15,1,-,0,1
"교포",소계,2538,-,-,-,-,2538,2431,-,-,-,-,2431,3383,-,-,-,-,3383,3460,-,-,-,-,3460,3324,-,-,-,-,3324,2793,-,-,-,-,2793,2551,-,-,-,-,2551,2649,-,-,-,-,2649,3006,-,-,-,-,3006,3414,-,-,-,-,3414,2856,-,-,-,-,2856
"교포",교포,2538,-,-,-,-,2538,2431,-,-,-,-,2431,3383,-,-,-,-,3383,3460,-,-,-,-,3460,3324,-,-,-,-,3324,2793,-,-,-,-,2793,2551,-,-,-,-,2551,2649,-,-,-,-,2649,3006,-,-,-,-,3006,3414,-,-,-,-,3414,2856,-,-,-,-,2856
