"통계분류(1)",통계분류(2),2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"통계분류(1)",통계분류(2),사례수,쇼핑,식도락 관광,자연경관 감상,고궁/역사 유적지 방문,박물관 전시관 관람,업무수행,전통문화체험,유흥/오락,연수/교육/연구,뷰티/의료관광,K-POP/한류스타 관련 공연장 방문,스포츠/레포츠 관람 및 참가,지역축제참여,연극 뮤지컬 발레 등 공연 관람 및 지역축제 참여,시찰(산업시설 등),기타,사례수,쇼핑,식도락 관광,자연경관 감상,고궁/역사 유적지 방문,박물관 전시관 관람,업무수행,전통문화체험,유흥/오락,연수/교육/연구,뷰티/의료관광,K-POP/한류스타 관련 공연장 방문,스포츠/레포츠 관람 및 참가,지역축제참여,드라마/ 영화 촬영지 방문,연극 뮤지컬 발레 등 공연 관람 및 지역축제 참여,시찰(산업시설 등),기타,사례수,쇼핑,식도락 관광,자연경관 감상,고궁/역사 유적지 방문,박물관 전시관 관람,업무수행,전통문화체험,유흥/오락,연수/교육/연구,뷰티/의료관광,K-POP/한류스타 관련 공연장 방문,스포츠/레포츠 관람 및 참가,지역축제참여,드라마/ 영화 촬영지 방문,연극 뮤지컬 발레 등 공연 관람 및 지역축제 참여,시찰(산업시설 등),기타
"국가",대만,7,100,71.4,42.9,14.3,0,28.6,0,14.3,42.9,14.3,28.6,0,0,14.3,0,0,61,72.1,60.7,27.9,26.2,8.2,39.3,4.9,4.9,23,4.9,3.3,3.3,0,4.9,4.9,1.6,13.1,773,84.1,79.9,39.5,35.2,14,26.4,15.8,15.5,6,7.1,10.1,6.2,2.7,5.2,6.2,1,1
"국가",태국,15,73.3,40,40,20,0,53.3,6.7,33.3,6.7,20,0,0,13.3,0,0,0,74,89.2,44.6,45.9,27,17.6,32.4,14.9,13.5,24.3,17.6,8.1,4.1,8.1,12.2,4.1,1.4,16.2,558,94.8,76.5,61.8,43.5,22.4,10.8,18.5,21.1,4.8,16.1,14.2,3.2,6.6,12.2,2.7,0.9,0
"국가",말레이시아,11,81.8,36.4,72.7,54.5,9.1,54.5,9.1,9.1,18.2,0,27.3,0,0,9.1,0,0,64,73.4,21.9,46.9,37.5,20.3,67.2,17.2,15.6,26.6,10.9,6.3,1.6,3.1,7.8,3.1,0,0,459,91.5,50.5,62.1,59.7,34.2,33.3,42.3,21.6,13.1,9.6,10,10,7.2,11.1,6.1,0.9,0.7
"국가",호주,8,62.5,50,50,37.5,37.5,37.5,25,37.5,37.5,0,12.5,25,0,12.5,0,0,20,80,30,60,55,45,50,30,25,10,20,0,10,15,0,5,0,5,433,81.3,53.1,59.4,59.6,42,24.2,35.6,27.9,3.5,12.7,9,11.8,6.2,9,5.1,1.6,3.9
"국가",미국,240,60.8,35.4,38.8,24.6,12.9,48.8,12.1,19.2,15,13.3,5,9.2,2.5,3.3,1.7,4.2,1550,67.8,21.6,51,45.9,32.9,44,26.4,21.2,21.5,13,5.2,6.1,4.4,6.1,5.4,0.3,5.6,3028,74.7,37.9,59.9,63.1,43.5,37.9,38.2,26.8,9.7,13.9,8.2,9.1,8.3,7,5.4,0.6,2.9
"국가",캐나다,32,43.8,9.4,37.5,21.9,6.3,34.4,12.5,15.6,18.8,9.4,3.1,6.3,6.3,0,3.1,21.9,70,65.7,22.9,51.4,41.4,34.3,47.1,20,18.6,10,11.4,1.4,7.1,10,7.1,4.3,0,11.4,321,76.3,45.8,68.2,70.1,41.7,24.9,40.2,32.7,8.7,15.3,9,10.6,8.1,8.1,6.2,1.2,2.5
"국가",영국,46,56.5,30.4,47.8,34.8,21.7,52.2,17.4,28.3,15.2,4.3,8.7,6.5,0,0,2.2,6.5,268,45.9,16,43.7,44,31,62.7,23.1,21.3,14.6,6.7,2.2,3.7,5.6,2.6,2.2,0.4,4.1,501,69.3,34.7,59.3,65.7,46.7,40.1,35.5,32.9,8.4,10.8,5.2,9.6,6.8,4.8,4.6,1.4,2.4
"국가",독일,99,26.3,18.2,28.3,23.2,14.1,75.8,10.1,6.1,22.2,6.1,3,6.1,4,2,0,1,482,47.9,18,36.5,38,27.6,63.9,23,19.9,23.2,7.7,1.9,7.5,2.3,1.9,2.1,0.8,1.9,1040,62,38.9,53.8,63.1,46.8,43.7,33.9,29.2,14.1,9.5,9.1,10.6,11.2,6,7.8,3.6,0.9
"국가",프랑스,35,60,40,62.9,42.9,31.4,45.7,17.1,34.3,45.7,22.9,17.1,5.7,2.9,0,2.9,2.9,508,75.2,41.1,64.6,62.8,50,31.3,42.5,38.2,52.2,14.6,6.1,13.6,4.3,5.5,4.1,0.6,2.4,1313,77.5,57.5,68.5,76.7,57.7,22.6,52.6,36.6,18.3,13.2,12.7,10.1,14.2,9.2,6.4,0.6,0.9
"국가",러시아,15,60,46.7,53.3,26.7,6.7,40,6.7,20,20,13.3,6.7,0,0,6.7,0,0,146,72.6,24.7,47.3,37.7,30.1,54.1,19.2,12.3,19.2,10.3,6.8,1.4,1.4,0.7,1.4,2.1,4.1,179,78.8,43.6,53.6,57,39.7,34.1,32.4,29.1,21.2,18.4,11.2,7.3,7.8,10.1,5.6,1.1,1.1
