표측1,표측2,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014
표측1,표측2,1.사례수,2.① 전혀 그렇지 않다,3.② 별로 그렇지 않다,4.③ 보통,5.④ 대체로 그렇다,6.⑤ 매우 그렇다,7.5점 평균,8.100점 평균,9.④+⑤ 그렇다,10.평균,11.계,1.사례수,2.① 전혀 그렇지 않다,3.② 별로 그렇지 않다,4.③ 보통,5.④ 대체로 그렇다,6.⑤ 매우 그렇다,7.5점 평균,8.100점 평균,9.④+⑤ 그렇다,10.평균,11.계,1.사례수,2.① 전혀 그렇지 않다,3.② 별로 그렇지 않다,4.③ 보통,5.④ 대체로 그렇다,6.⑤ 매우 그렇다,7.5점 평균,8.100점 평균,9.④+⑤ 그렇다,10.평균,11.계,1.사례수,2.① 전혀 그렇지 않다,3.② 별로 그렇지 않다,4.③ 보통,5.④ 대체로 그렇다,6.⑤ 매우 그렇다,7.5점 평균,8.100점 평균,9.④+⑤ 그렇다,10.평균,11.계,1.사례수,2.① 전혀 그렇지 않다,3.② 별로 그렇지 않다,4.③ 보통,5.④ 대체로 그렇다,6.⑤ 매우 그렇다,7.5점 평균,8.100점 평균,9.④+⑤ 그렇다,10.평균,11.계,1.사례수,2.① 전혀 그렇지 않다,3.② 별로 그렇지 않다,4.③ 보통,5.④ 대체로 그렇다,6.⑤ 매우 그렇다,7.5점 평균,8.100점 평균,9.④+⑤ 그렇다,10.평균,11.계,1.사례수,2.① 전혀 그렇지 않다,3.② 별로 그렇지 않다,4.③ 보통,5.④ 대체로 그렇다,6.⑤ 매우 그렇다,7.5점 평균,8.100점 평균,9.④+⑤ 그렇다,10.평균,11.계,1.사례수,2.① 전혀 그렇지 않다,3.② 별로 그렇지 않다,4.③ 보통,5.④ 대체로 그렇다,6.⑤ 매우 그렇다,7.5점 평균,8.100점 평균,9.④+⑤ 그렇다,10.평균,11.계,1.사례수,2.① 전혀 그렇지 않다,3.② 별로 그렇지 않다,4.③ 보통,5.④ 대체로 그렇다,6.⑤ 매우 그렇다,7.5점 평균,8.100점 평균,9.④+⑤ 그렇다,10.평균,11.계,1.사례수,2.① 전혀 그렇지 않다,3.② 별로 그렇지 않다,4.③ 보통,5.④ 대체로 그렇다,6.⑤ 매우 그렇다,7.5점 평균,8.100점 평균,9.④+⑤ 그렇다,10.평균,11.계
표측1,표측2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4.국가,5.대만,,0,0.1,5.2,36.9,57.9,4.5,88.1,,,,726,0.1,0.7,5,23.6,70.7,,,94.2,,100,44,0,0,6.8,47.7,45.5,,,93.2,,100,3,0,0,0,100,0,,,100,,100,,0.2,1.4,11.5,61.8,25.1,,,86.8,,100,,0.4,2,12.8,57.8,27,,,84.7,,100,"1,049.00",0,1.2,10.1,59,29.7,,,88.7,,100,639,0.3,3.7,16,45.4,34.6,,,80,0,0,568,0.2,2.7,13.5,57.7,26,,,83.7,0,0,619,0.1,1.7,12.4,66.1,19.6,,,85.7,0,0
4.국가,6.태국,,0.3,0.4,10.4,23.5,65.5,4.5,88.4,,,,522,0.2,0.2,1.5,16.1,82,,,98.1,,100,27,0,0,7.4,11.1,81.5,,,92.6,,100,1,0,0,100,0,0,,,0,,100,,0.3,1.1,14.4,50.4,33.8,,,84.2,,100,,1.1,1.4,12.8,48.1,36.7,,,84.8,,100,510,0.4,4.4,10.4,41.8,43,,,84.8,,100,324,0.2,3.7,12.8,40,43.3,,,83.3,0,0,359,0.4,3.6,11,47.1,37.9,,,85,0,0,399,0.1,4.2,10.9,56.6,28.1,,,84.7,0,0
4.국가,7.말레이시아,,0.5,1.6,6.5,37.8,53.5,4.4,85.6,,,,413,0,0.5,5.3,20.3,73.8,,,94.2,,100,42,0,0,7.1,19,73.8,,,92.9,,100,4,0,0,0,0,100,,,100,,100,,0.1,1.8,9.9,46.3,41.8,,,88.1,,100,,0.6,1.6,8.5,46.5,42.9,,,89.3,,100,328,0.3,1.4,10.5,46.6,41.3,,,87.9,,100,223,0,1.8,9.1,40.4,48.7,,,89.1,0,0,230,0.4,1.2,8.7,46.6,43.3,,,89.8,0,0,221,0.1,1.1,12.8,47.8,38.1,,,85.9,0,0
4.국가,8.호주,,0.2,2.3,9.8,26.5,61.3,4.5,86.6,,,,412,0.5,2.7,5.8,20.9,70.1,,,91,,100,6,0,0,16.7,16.7,66.7,,,83.3,,100,2,0,0,0,0,100,,,100,,100,,0.2,3.4,8.3,33.2,54.9,,,88.1,,100,,0.4,2.5,11.1,35.2,50.8,,,86.1,,100,167,1.1,2.2,12.1,35.4,49.2,,,84.6,,100,115,2,4.9,12.4,30.2,50.5,,,80.7,0,0,138,0,3.8,7.9,37.7,50.5,,,88.3,0,0,125,0.8,3.2,10.4,43.1,42.6,,,85.6,0,0
4.국가,9.미국,,0.3,1.7,7.5,22.8,67.6,4.6,88.9,,,,"2,707.00",0.5,2.1,6,17.6,73.7,,,91.4,,100,887,0.3,2,5.9,15.7,76.1,,,91.8,,100,117,0,2.6,19.7,18.8,59,,,77.8,,100,,0.8,3.7,8.1,26.6,60.9,,,87.4,,100,,1,3.1,9.4,31.1,55.5,,,86.6,,100,933,1.5,4.4,10,29.9,54.2,,,84.1,,100,630,1.1,2.9,9.2,27.5,59.3,,,86.8,0,0,799,1,3.5,10.2,28.5,56.8,,,85.3,0,0,696,0.7,4.5,10.2,33.2,51.3,,,84.6,0,0
4.국가,10.캐나다,,1,4.3,7.7,22.1,64.8,4.5,86.3,,,,300,0.7,2.3,7.3,16,73.7,,,89.7,,100,40,0,5,10,35,50,,,85,,100,17,0,0,0,41.2,58.8,,,100,,100,,0.5,4.7,12.9,30.9,51,,,81.9,,100,,0.7,4.7,10.1,35.6,48.9,,,84.5,,100,186,1.4,5.9,12.8,28.6,51.4,,,80,,100,126,2.2,4.3,13.8,29.7,50.1,,,79.8,0,0,151,2.1,5.4,9.6,35.1,47.8,,,82.9,0,0,130,2,4.9,11.9,34.4,46.9,,,81.3,0,0
4.국가,11.영국,,0.4,1.8,6.5,20.9,70.3,4.6,89.7,,,,460,0.9,4.3,5.7,20.4,68.7,,,89.1,,100,196,2,2.6,9.2,15.3,70.9,,,86.2,,100,26,0,3.8,23.1,11.5,61.5,,,73.1,,100,,0.8,5.6,12.7,27.1,53.8,,,80.8,,100,,0.3,2.1,10.1,35.3,52.2,,,87.5,,100,132,1.1,2.9,9.7,35.1,51.2,,,86.4,,100,91,0.6,3.1,10.3,35.3,50.7,,,86,0,0,120,0.3,1.8,12.2,30.3,55.5,,,85.7,0,0,110,0.8,2.9,8.3,44.2,43.8,,,88,0,0
4.국가,12.독일,,0.8,5.3,13.1,26.2,54.7,4.3,82.2,,,,910,0.7,4,12.2,22.1,61.1,,,83.2,,100,320,1.3,0.6,13.8,30.6,53.8,,,84.4,,100,68,1.5,1.5,22.1,25,50,,,75,,100,,0.2,3.7,16,28.8,51.4,,,80.2,,100,,0.8,3.5,12.2,38,45.5,,,83.4,,100,112,1.3,2.9,13.9,34.5,47.4,,,81.9,,100,77,1,2.3,12.1,35.9,48.7,,,84.6,0,0,100,0.4,2.4,12.4,32.1,52.7,,,84.8,0,0,86,1.3,2.6,12.5,38.6,45,,,83.6,0,0
4.국가,13.프랑스,,3.4,4.3,10.8,31.6,49.9,4.2,80.1,,,,"1,037.00",1.1,5,8.3,17.4,68.3,,,85.6,,100,214,2.3,4.2,7,18.7,67.8,,,86.4,,100,11,9.1,9.1,27.3,18.2,36.4,,,54.5,,100,,2.1,8.8,16,36.2,37,,,73.2,,100,,0.7,5.9,15.4,35.4,42.7,,,78.1,,100,97,0.9,4.7,15.1,33.1,46.1,,,79.3,,100,66,0.7,3.5,15.1,31.2,49.4,,,80.6,0,0,85,0,1.9,16.5,39.1,42.4,,,81.6,0,0,71,0.3,2,14.5,39.6,43.6,,,83.2,0,0
4.국가,14.러시아,,0,1.7,4.6,29.4,64.3,4.6,89.1,,,,122,0,2.5,9,13.1,75.4,,,88.5,,100,82,0,2.4,7.3,24.4,65.9,,,90.2,,100,2,0,0,0,0,100,,,100,,100,,0.3,0.7,11.5,45,42.4,,,87.4,,100,,0.1,1.6,13.8,38.7,45.8,,,84.5,,100,246,0.4,2.7,14.6,35.9,46.4,,,82.3,,100,138,0,3,16.2,38.3,42.5,,,80.8,0,0,154,0.4,2.4,15.3,41.5,40.4,,,81.9,0,0,158,0,1.6,14.3,47.4,36.7,,,84.1,0,0
