"통계분류(1)",통계분류(2),2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"통계분류(1)",통계분류(2),음식/미식탐방,쇼핑,역사/문화유적/전통문화체험,자연 풍경 감상,K-POP/한류스타 관련 공연팬미팅촬영지 등 체험,유흥/놀이 시설 체험,패션 유행 등 세련된 현대 문화 체험,레저 및 스포츠 활동,자국과의 이동거리,경제적인 여행비용,기후/뚜렷한 사계절,이미용 서비스,숙박시설/편리한 교통,친구 친지 방문,휴가 시간,템플스테이 태권도 등 한국전통 문화 체험,기타,계,음식/미식탐방,쇼핑,역사/문화유적/전통문화체험,자연 풍경 감상,K-POP/한류스타 관련 공연팬미팅촬영지 등 체험,유흥/놀이 시설 체험,패션 유행 등 세련된 현대 문화 체험,치료 및 미용 서비스 체험,레저 및 스포츠 활동,자국과의 이동거리,경제적인 여행비용,휴가 시간,기타,계,사례수,음식/미식탐방,쇼핑,역사/문화유적/전통문화체험,자연 풍경 감상,K-POP/한류스타 관련 공연팬미팅촬영지 등 체험,패션 유행 등 세련된 현대 문화 체험,여행 가능한 여가시간,치료 및 미용 서비스 체험,자국과의 이동거리,경제적인 여행비용,기타,계,사례수,음식/미식탐방,쇼핑,역사/문화유적/전통문화체험,자연 풍경 감상,K-POP/한류스타 관련 공연팬미팅촬영지 등 체험,유흥/놀이 시설 체험,패션 유행 등 세련된 현대 문화 체험,여행 가능한 여가시간,치료 및 미용 서비스 체험,레저 및 스포츠 활동,자국과의 이동거리,경제적인 여행비용,기타,계,사례수,음식/미식탐방,쇼핑,역사/문화유적/전통문화체험,자연 풍경 감상,K-POP/한류스타 관련 공연팬미팅촬영지 등 체험,유흥/놀이 시설 체험,패션 유행 등 세련된 현대 문화 체험,여행 가능한 여가시간,치료 및 미용 서비스 체험,레저 및 스포츠 활동,자국과의 이동거리,경제적인 여행비용,기타,계
"국가",중국,30,33.4,1.9,8.4,2.1,0.5,2.3,0.2,2,0.3,0.3,0.8,0.3,14.8,1,0.1,1.5,100,31.3,29.5,5.6,14,3.9,0.3,5.1,1.6,0.1,3.7,0.6,1.5,2.8,100,21,19,52.4,4.8,0,0,4.8,0,0,0,0,19,100,91,27.5,19.8,0,13.2,0,0,9.9,0,1.1,1.1,1.1,0,26.4,100,248,37.5,22.2,6.5,8.1,1.2,0,4,0.4,3.2,0.4,1.6,1.2,13.7,100
"국가",홍콩,37.8,24.5,2.2,15.1,3.1,1.3,2.2,0.7,1.3,1.3,0.6,0.3,1,4.3,3.3,0.6,0.4,100,40,25.4,2.8,11.3,6.3,1.3,1.2,0.2,1.3,1.8,0.9,6.3,1.3,100,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,100,0,0,0,0,0,0,0,0,0,0,0,100,155,52.9,27.7,0.6,6.5,4.5,0.6,2.6,0.6,0,0,1.9,0.6,1.3,100
"국가",싱가포르,21.5,30.3,3.4,15.9,5.6,0.4,0.7,0.9,0.5,0.9,3.8,0.3,0.7,5.4,8.4,0.9,0.5,100,21.6,31,5.7,13,6.1,0.4,1.1,0.3,3,0,0.2,15.5,2.2,100,-,-,-,-,-,-,-,-,-,-,-,-,-,180,44.4,18.3,3.9,16.7,3.3,3.3,1.1,1.1,0.6,2.2,1.1,0,3.9,100,1647,43.1,30.4,3.2,10.7,2.6,2.1,1.7,1.5,0.3,1.3,0.5,0.3,2.1,100
"국가",대만,38.1,19.2,3.7,13.9,4.2,1.5,3,0.7,2.4,2.4,1.3,0.6,1,4.5,2.8,0.6,0.3,100,40.1,16.6,7.1,11.9,7,1.3,3.6,0.3,1.5,2.3,1.4,5.7,1.3,100,1,100,0,0,0,0,0,0,0,0,0,0,100,9,44.4,22.2,11.1,0,0,0,11.1,0,0,0,0,0,11.1,100,487,45.6,23.6,5.1,8.2,7,0,2.5,1,0.2,0.4,1.2,0.6,4.5,100
"국가",태국,22.3,28.9,4.2,14.1,4.6,1.5,1.9,0.6,1,1,2.4,1.2,0.8,9.2,3.3,1.6,1.4,100,21.1,31.7,7.6,15.4,5,0.7,7.4,0.8,0.5,1.6,0.5,5.5,2.1,100,-,-,-,-,-,-,-,-,-,-,-,-,-,7,42.9,28.6,0,14.3,0,0,0,0,14.3,0,0,0,0,100,434,49.3,26.5,3.2,7.6,5.1,0.5,1.4,1.6,1.6,0,0.5,0,2.8,100
"국가",말레이시아,21.7,18.1,6,25.3,4.9,1.1,2.3,0.2,0.4,1.4,1.9,0.1,0.2,5.2,9.2,1.7,0.4,100,18.7,17.2,5.9,29.8,6.9,0.6,1.5,0.1,0.7,0.3,1.1,16.9,0.5,100,4,50,0,0,0,25,0,0,0,0,0,25,100,3,33.3,66.7,0,0,0,0,0,0,0,0,0,0,0,100,232,34.5,23.3,9.5,20.3,2.6,1.7,0.9,1.3,0.9,1.3,0,0.9,3,100
"국가",호주,19.1,7.2,8.5,8.2,1.5,0.9,0.9,1.2,2.1,3.6,1,0.8,0.6,26.7,9.2,1.6,6.9,100,19.9,10.6,19.5,6.6,5.9,0.7,1.3,0.2,2.7,1.8,2.6,17.1,11.1,100,2,0,0,0,0,0,0,0,0,0,0,100,100,2,0,50,0,50,0,0,0,0,0,0,0,0,0,100,283,35,11,14.5,7.1,6.7,4.6,2.1,1.8,1.8,0.7,0.4,0.4,14.1,100
"국가",미국,11.9,3.7,9.4,5.2,1.7,0.5,0.6,0.7,0.9,1,0.4,0.2,0.5,50.4,7,1,4.9,100,20.6,5.7,16.6,8.1,5.1,1.6,0.8,0.2,0.6,1.7,1.6,24.9,12.5,100,66,3,1.5,9.1,3,0,0,3,3,1.5,1.5,74.2,100,342,13.5,4.4,2.9,8.8,1.2,1.2,0.6,2.3,1.2,0,0.3,0.3,63.5,100,1429,30.1,7.4,13.3,7.4,3.1,3.1,1.5,3.7,0.8,0.8,1.4,1,26.4,100
"국가",캐나다,14.1,5.8,8.5,9.5,3.1,1.8,0.3,0.2,1.6,1.6,0.4,0.4,0.8,31.2,9.4,1,10.2,100,19.6,7.6,15.1,11.6,4,2,3.8,0.5,0.6,3.3,5.2,15.8,11,100,14,0,0,0,0,0,7.1,0,0,0,0,92.9,100,14,21.4,0,0,0,0,0,0,7.1,7.1,0,0,0,64.3,100,200,38.5,6,9,7.5,5,3.5,1,3,1,2,2.5,1,20,100
"국가",영국,13.6,3.1,12.6,7.6,2.7,0.7,0.8,1.5,0,1.6,0,0.7,0,39.3,8.6,3,4.3,100,18,4.6,23,10.5,5,0.8,1.4,0,1.6,0.9,0,26.5,7.7,100,13,0,0,15.4,0,0,0,0,7.7,7.7,0,69.2,100,48,12.5,10.4,8.3,14.6,0,4.2,2.1,0,0,2.1,0,6.3,39.6,100,242,32.6,4.5,18.6,7.9,2.9,5.8,1.7,3.7,0.8,2.5,0.4,2.5,16.1,100
