"통계분류(1)",통계분류(2),2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"통계분류(1)",통계분류(2),사례수,음식/미식탐방,쇼핑,역사/문화유적/전통문화 체험,자연 풍경 감상,K-POP/한류스타 관련 공연팬미팅촬영지 등 체험,유흥/놀이 시설 체험,패션 유행 등 세련된 현대 문화 체험,여행 가능한 여가시간,치료 및 미용 서비스 체험,레저 및 스포츠 활동,자국과의 이동거리,경제적인 여행비용,기타,사례수,음식/미식탐방,쇼핑,역사/문화유적/전통문화 체험,자연 풍경 감상,K-POP/한류스타 관련 공연팬미팅촬영지 등 체험,유흥/놀이 시설 체험,패션 유행 등 세련된 현대 문화 체험,여행 가능한 여가시간,치료 및 미용 서비스 체험,레저 및 스포츠 활동,자국과의 이동거리,경제적인 여행비용,기타,사례수,음식/미식탐방,쇼핑,역사/문화유적/전통문화 체험,자연 풍경 감상,K-POP/한류스타 관련 공연팬미팅촬영지 등 체험,유흥/놀이 시설 체험,패션 유행 등 세련된 현대 문화 체험,여행 가능한 여가시간,치료 및 미용 서비스 체험,레저 및 스포츠 활동,자국과의 이동거리,경제적인 여행비용,기타
"국가",미국,127,2.4,0.8,6.3,3.9,0,0,0,1.6,1.6,0.8,0.8,0.8,81.1,449,11.8,4.5,2.7,7.3,0.9,1.6,0.9,2,1.1,0.4,0.7,0.2,65.9,1463,30.3,7.4,13.1,7.6,3.1,3.1,1.4,3.6,0.8,1,1.4,1,26.4
"국가",캐나다,23,4.3,0,8.7,4.3,8.7,0,4.3,0,0,0,0,0,69.6,23,13,4.3,4.3,0,0,0,0,4.3,4.3,0,0,0,69.6,203,37.9,5.9,8.9,8.4,4.9,3.4,1,3,1,2,2.5,1,20.2
"국가",영국,18,0,0,11.1,5.6,0,0,0,0,5.6,0,5.6,0,72.2,57,14,8.8,7,14,0,5.3,1.8,0,0,1.8,0,5.3,42.1,246,32.1,4.5,18.7,8.1,2.8,5.7,1.6,3.7,0.8,2.4,0.4,2.4,16.7
"국가",독일,15,13.3,0,0,13.3,6.7,0,0,0,0,0,0,0,66.7,28,21.4,3.6,10.7,10.7,0,0,0,0,0,3.6,0,0,50,403,27.3,7.4,21.6,11.9,4,2,4.7,2,0.2,1,0.7,0.2,16.9
"국가",프랑스,13,30.8,0,7.7,23.1,0,0,0,0,0,0,0,7.7,30.8,71,16.9,4.2,8.5,4.2,0,2.8,2.8,1.4,0,0,0,0,59.2,718,31.6,5.6,19.8,11.6,5.2,1.5,7.2,1.7,0,1,0.6,0.7,13.6
"국가",러시아,12,25,8.3,0,16.7,0,0,8.3,0,8.3,0,0,0,33.3,26,26.9,15.4,3.8,7.7,3.8,0,3.8,0,11.5,0,0,0,26.9,66,25.8,10.6,13.6,15.2,4.5,3,3,3,9.1,0,1.5,0,10.6
"국가",중동,18,0,0,5.6,0,0,0,0,0,5.6,0,0,5.6,83.3,23,13,13,0,8.7,0,0,4.3,4.3,0,0,0,0,56.5,219,15.5,19.6,14.2,14.2,9.6,2.7,4.1,2.3,2.7,1.4,0,0.5,13.2
"국가",인도,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,33.3,0,0,33.3,0,0,0,0,0,0,0,0,33.3,27,18.5,18.5,7.4,25.9,0,3.7,0,7.4,0,3.7,0,0,14.8
"국가",필리핀,3,0,0,0,0,0,0,0,0,0,0,33.3,0,66.7,7,28.6,14.3,0,28.6,0,0,14.3,0,0,0,0,0,14.3,125,39.2,17.6,10.4,8,9.6,4,1.6,0.8,0,0.8,0.8,0,7.2
"국가",인도네시아,1,0,0,0,0,0,0,0,0,0,0,0,0,100,7,28.6,28.6,0,0,0,0,0,0,0,0,0,0,42.9,261,45.2,16.9,6.1,10,9.6,1.5,3.4,0.4,3.4,0.4,0,0,3.1
"국가",베트남,1,0,0,0,0,0,0,0,0,0,0,0,0,100,9,0,22.2,0,11.1,0,0,11.1,0,11.1,0,0,0,44.4,82,45.1,19.5,7.3,15.9,1.2,1.2,0,0,0,0,0,1.2,8.5
"국가",몽골,5,0,0,20,0,0,20,0,0,0,0,20,0,40,10,0,30,0,20,0,10,10,0,10,0,10,0,10,21,4.8,19,9.5,23.8,0,4.8,4.8,0,14.3,0,0,4.8,14.3
"국가",기타,20,5,0,5,10,0,0,0,0,0,0,0,0,80,136,19.9,11,8.8,10.3,2.9,1.5,3.7,2.9,0.7,0,0.7,0.7,36.8,1245,32.9,6.8,18.4,10,4.7,4,2.3,2.7,0.1,1,0.4,1.1,15.5
"성별",남성,198,16.2,10.6,3,6.1,0,0.5,4,1.5,2.5,0.5,2.5,0.5,52,576,23.3,9.4,4.2,10.2,0.5,1.6,3.6,1.9,1,1,1,0.3,41.8,3232,37.3,10.6,11.5,9.9,1.5,3.9,2.1,2.8,0.5,1.3,1,1.1,16.3
"성별",여성,278,8.3,7.2,4.3,5.4,1.8,0,1.8,0.4,0.7,0,1.1,0.7,68.3,822,17.9,15,3.6,12.2,1.5,1.5,4.3,1,1.6,0.5,0.4,0.4,40.4,6591,35.7,19.5,9.3,8.5,7.4,2,2.6,1.5,1.2,0.8,0.6,0.5,10.4
"연령",15~19세,6,0,0,0,0,0,0,0,0,0,0,0,0,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"연령",20대,165,18.8,8.5,6.7,7.3,1.8,0,3,1.8,1.2,0.6,1.2,0.6,48.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"연령",30대,120,10,12.5,3.3,5,0.8,0.8,1.7,0,0.8,0,3.3,0.8,60.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"연령",40대,70,7.1,5.7,4.3,5.7,0,0,1.4,0,1.4,0,0,0,74.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"연령",50대,79,6.3,8.9,0,2.5,1.3,0,3.8,1.3,2.5,0,2.5,1.3,69.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"연령",60대 이상,36,5.6,2.8,0,8.3,0,0,5.6,0,2.8,0,0,0,75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"연령",15-20 세,-,-,-,-,-,-,-,-,-,-,-,-,-,-,63,28.6,9.5,6.3,15.9,4.8,4.8,4.8,1.6,0,0,1.6,0,22.2,483,36,14.1,11,10.1,8.7,2.5,4.8,2.3,1,1.7,0.4,0.6,6.8
"연령",21-30 세,-,-,-,-,-,-,-,-,-,-,-,-,-,-,389,22.9,11.8,4.9,12.1,1.8,2.3,4.6,1.3,1,0.3,0.8,0.3,36,4187,37.5,18.2,9.7,7.8,7.2,3.2,3.1,1.5,1,0.9,0.8,0.5,8.7
"연령",31-40 세,-,-,-,-,-,-,-,-,-,-,-,-,-,-,405,21,16.8,4,8.9,1,1.2,6.2,2.5,2,1,0.2,0.5,34.8,2371,39.8,16,8.7,9.4,3.9,2.5,1.7,2.3,1,1.1,0.6,0.9,12.1
"연령",41-50 세,-,-,-,-,-,-,-,-,-,-,-,-,-,-,201,19.4,13.4,0.5,11.9,0.5,0.5,4,0.5,2,1,1,0.5,44.8,1296,34.3,18.4,9.6,9.7,4,2.2,1.7,2.2,1.5,0.8,0.6,0.8,14
"연령",51-60 세,-,-,-,-,-,-,-,-,-,-,-,-,-,-,222,13.1,10.4,5,12.2,0,1.4,0.5,0.5,0.5,0.9,0.9,0,55,1006,31.2,13.9,12.7,8.9,4.2,1.5,2.1,2.1,0.8,1,0.9,0.8,19.9
"연령",61 세이상,-,-,-,-,-,-,-,-,-,-,-,-,-,-,118,17.8,5.9,2.5,12.7,0,0,0.8,0.8,1.7,0.8,0,0.8,55.9,480,23.3,9.2,13.5,14.4,1.5,1.3,1.3,2.9,0,0.6,0.8,0.8,30.4
"방한목적",여가/위락/휴식,86,18.6,18.6,14,16.3,3.5,1.2,3.5,3.5,3.5,0,3.5,2.3,11.6,316,38.6,17.7,7.6,14.9,4.4,3.5,1.9,2.2,3.5,1.6,1.3,0,2.8,7306,40.7,19.3,10.2,9.6,7.2,3,2.8,1.5,1.1,1,0.8,0.4,2.3
"방한목적",친구/친지방문,390,10,6.4,1.5,3.3,0.5,0,2.6,0.3,1,0.3,1.3,0.3,72.6,1082,14.7,11.2,2.8,10.4,0.1,0.9,4.6,1.1,0.7,0.5,0.5,0.5,52.1,2517,23.2,8.7,9.5,7.2,0.6,1.4,1.4,3.1,0.5,0.8,0.6,1.6,41.3
"방한횟수",1회,69,14.5,7.2,11.6,8.7,0,1.4,4.3,0,1.4,1.4,1.4,0,47.8,370,18.1,14.1,8.1,11.9,2.2,1.1,2.4,1.6,0.8,0.5,0.8,0,38.4,4796,34.4,11.8,14.8,10.3,6,2.9,3.2,2,0.6,0.9,0.9,0.5,11.7
"방한횟수",2회,82,17.1,7.3,3.7,7.3,1.2,0,3.7,3.7,2.4,0,4.9,0,48.8,241,24.1,8.7,2.5,9.5,1.2,1.2,3.3,1.2,2.1,0.8,1.7,0.8,42.7,1720,38.3,18.5,7.9,9.2,4.2,2.6,2,1.9,1.1,1.1,0.8,0.9,11.5
"방한횟수",3회,75,4,5.3,4,6.7,1.3,0,1.3,1.3,0,0,1.3,2.7,72,181,21,8.3,2.8,11.6,0.6,3.3,3.9,0.6,1.7,0.6,0.6,0,45.3,957,38.7,21.8,5.5,8.8,4.2,1.8,2.2,2.1,1.1,0.7,0.4,0.9,11.7
"방한횟수",4회 이상,250,11.2,10.4,1.6,4,1.2,0,2.4,0,1.6,0,0.8,0.4,66.4,606,19.5,14.7,2.1,11.7,0.5,1.3,5.3,1.5,1.3,0.8,0.2,0.5,40.6,2350,37.4,22.9,3.7,6.2,5.9,2.4,1.4,1.7,1.7,1.1,0.4,0.8,14.5
"입국과정",자가격리포함,-,-,-,-,-,-,-,-,-,-,-,-,-,-,787,17.7,13.3,3.4,11.2,0.8,1.4,5,1.7,1.8,0.6,0.8,0.1,42.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"입국과정",자가격리미포함,-,-,-,-,-,-,-,-,-,-,-,-,-,-,611,23.2,11.8,4.4,11.6,1.5,1.6,2.8,1,0.8,0.8,0.5,0.7,39.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-
