"행정구역별(1)","시점",계,시각예술,공연예술,공연예술,공연예술,공연예술,공연예술,공연예술,공연예술,공연예술,공연예술,공연예술,공연예술,공연예술
"행정구역별(1)","시점",소계,소계,소계,소계,국악,국악,양악,양악,연극,연극,무용,무용,혼합,혼합
"행정구역별(1)","시점",활동건수 (건),활동건수 (건),활동건수 (건),공연횟수 (회),활동건수 (건),공연횟수 (회),활동건수 (건),공연횟수 (회),활동건수 (건),공연횟수 (회),활동건수 (건),공연횟수 (회),활동건수 (건),공연횟수 (회)
"강원특별자치도","2016",93.1,33.5,59.6,112.3,5.5,11.4,20.3,22.2,21.9,62.7,3.5,3.6,8.4,12.3
"강원특별자치도","2017",101.1,35.7,65.3,167.5,6.7,33.6,25.7,45.2,21.0,50.8,3.1,17.5,8.8,20.3
"강원특별자치도","2018",116.7,40.2,76.5,138.7,6.9,10.0,30.5,34.5,26.6,77.2,4.5,6.0,7.9,10.9
"강원특별자치도","2019",122.0,39.8,82.2,161.0,3.2,18.4,27.2,29.5,33.9,86.7,2.0,2.3,15.8,24.0
"강원특별자치도","2020",34.4,14.2,20.2,33.6,1.8,2.4,8.4,9.1,5.3,14.5,1.6,2.0,3.0,5.7
"강원특별자치도","2021",57.2,23.9,33.3,68.8,2.5,3.1,9.7,14.3,15.5,44.9,1.9,2.2,3.8,4.3
"강원특별자치도","2022",66.6,26.4,40.2,107.0,3.5,5.4,14.0,26.7,17.0,66.3,2.3,3.1,3.4,5.4
"충청북도","2015",39.9,22.0,17.9,65.1,3.0,6.0,6.1,7.9,6.8,49.0,1.1,1.3,0.8,0.9
"충청북도","2016",43.2,19.2,24.1,75.1,2.7,7.2,7.2,7.7,10.6,54.1,1.2,2.2,2.5,3.8
"충청북도","2017",44.3,18.8,25.5,58.5,2.8,2.9,7.8,8.4,8.3,38.7,1.1,1.8,5.5,6.6
"충청북도","2018",55.2,18.2,37.0,97.4,2.2,6.1,11.7,12.3,13.9,65.6,0.8,0.9,8.4,12.5
"충청북도","2019",69.4,17.9,51.4,124.4,4.8,5.4,15.9,37.5,21.6,69.2,2.7,3.7,6.4,8.6
"충청북도","2020",24.7,11.8,12.9,55.4,1.3,1.4,5.1,5.1,4.2,45.0,0.5,0.5,1.9,3.4
"충청북도","2021",38.8,15.6,23.2,42.1,3.4,3.8,10.6,11.4,5.9,21.3,0.8,0.9,2.4,4.8
"충청북도","2022",57.3,25.2,32.1,110.0,3.6,4.2,14.7,15.3,10.8,86.4,0.9,1.1,2.0,2.9
"충청남도","2015",35.5,8.7,26.8,49.9,2.3,3.0,11.6,12.5,9.9,28.6,1.0,1.3,2.0,4.5
"충청남도","2016",45.4,12.1,33.3,81.1,3.8,7.2,13.0,17.2,10.0,46.3,1.9,4.1,4.7,6.2
"충청남도","2017",48.5,13.7,34.8,76.3,2.9,5.1,12.7,14.1,11.6,45.1,2.6,3.1,5.1,8.9
"충청남도","2018",52.4,14.1,38.3,85.2,2.5,5.6,12.6,13.2,18.4,58.1,1.6,2.7,3.1,5.6
"충청남도","2019",58.7,14.1,44.6,115.8,2.1,8.4,12.5,13.6,22.6,77.1,1.0,4.6,6.5,12.1
"충청남도","2020",16.9,7.8,9.1,18.2,0.5,0.7,3.8,4.1,3.4,11.4,0.3,0.3,1.0,1.7
"충청남도","2021",35.3,13.1,22.2,34.4,1.6,2.4,9.1,9.6,7.4,14.9,1.8,2.9,2.4,4.8
"충청남도","2022",48.1,16.6,31.5,63.0,2.1,2.3,13.2,14.2,13.2,41.1,1.4,1.9,1.5,3.5
"전북특별자치도","2015",79.1,28.3,50.8,100.3,7.0,13.0,23.9,24.9,11.0,51.3,5.4,7.0,3.6,4.2
"전북특별자치도","2016",79.3,26.1,53.2,248.8,6.0,11.1,23.0,23.9,13.2,197.0,3.8,4.7,7.2,12.1
"전북특별자치도","2017",85.4,30.8,54.5,132.2,4.7,8.1,22.2,22.8,16.6,78.7,3.2,3.7,7.9,18.8
"전북특별자치도","2018",92.9,32.9,60.0,172.8,8.0,8.7,21.0,22.4,17.7,121.2,3.8,4.2,9.5,16.2
"전북특별자치도","2019",102.1,32.3,69.8,154.5,8.4,10.3,23.9,24.9,18.9,90.3,3.5,3.7,15.0,25.3
"전북특별자치도","2020",48.1,21.8,26.3,65.1,4.9,6.9,10.4,11.0,5.1,36.8,1.8,1.9,4.0,8.5
"전북특별자치도","2021",62.4,21.5,40.9,129.7,9.0,28.4,16.4,58.3,8.7,30.7,3.2,3.2,3.6,9.1
"전북특별자치도","2022",91.4,39.5,51.9,107.2,8.7,20.5,22.4,26.3,11.6,46.9,3.5,4.1,5.7,9.5
"전라남도","2015",45.4,14.7,30.7,45.7,3.0,3.5,12.4,13.5,10.8,23.6,1.8,1.9,2.7,3.2
"전라남도","2016",54.5,14.1,40.3,134.8,4.4,37.9,14.4,18.8,11.9,48.6,1.1,1.7,8.6,27.8
"전라남도","2017",60.0,18.8,41.2,61.1,4.1,5.1,14.7,15.7,13.7,27.5,1.4,1.5,7.3,11.3
"전라남도","2018",67.7,21.7,45.9,83.7,3.4,10.7,13.6,21.1,17.4,37.8,1.8,2.1,9.7,12.1
"전라남도","2019",79.9,21.4,58.5,103.3,4.3,5.2,14.1,27.8,21.4,48.2,1.4,1.5,17.2,20.5
"전라남도","2020",23.2,14.3,8.9,18.5,0.9,2.0,3.2,3.4,2.5,10.0,0.5,0.5,1.8,2.5
"전라남도","2021",44.4,21.4,23.0,39.1,2.6,2.9,8.4,12.4,6.3,13.6,1.1,1.3,4.6,8.9
"전라남도","2022",52.2,23.0,29.2,69.5,3.7,10.1,8.9,10.6,12.7,44.3,1.7,1.9,2.1,2.5
"경상북도","2015",38.5,14.4,24.1,47.3,2.8,3.2,9.8,10.7,8.8,21.8,1.5,1.6,1.1,10.1
