"소재지(시군구)별(1)","시점",계,계,공연장,공연장,박물관,박물관,미술관,미술관,과학관,과학관,문화산업단지,문화산업단지,문화산업진흥시설,문화산업진흥시설,지방문화원,지방문화원,문화예술진흥시설,문화예술진흥시설,전시시설,전시시설,국제회의시설,국제회의시설,공공도서관,공공도서관,전문도서관,전문도서관
"소재지(시군구)별(1)","시점",시설수 (개),면적 (㎡),시설수 (개),면적 (㎡),시설수 (개),면적 (㎡),시설수 (개),면적 (㎡),시설수 (개),면적 (㎡),시설수 (개),면적 (㎡),시설수 (개),면적 (㎡),시설수 (개),면적 (㎡),시설수 (개),면적 (㎡),시설수 (개),면적 (㎡),시설수 (개),면적 (㎡),시설수 (개),면적 (㎡),시설수 (개),면적 (㎡)
"부산광역시","2012",15,317865,1,15922,0,0,1,16800,0,0,0,0,0,0,0,0,13,285143,-,-,-,-,-,-,-,-
"부산광역시","2013",16,320825,1,15922,0,0,1,16800,0,0,0,0,0,0,0,0,14,288103,-,-,-,-,-,-,-,-
"부산광역시","2014",16,315441,1,15922,0,0,1,16800,0,0,0,0,0,0,0,0,14,282719,-,-,-,-,-,-,-,-
"부산광역시","2015",16,315441,0,0,0,0,1,15922,0,0,1,16800,0,0,0,0,14,282719,-,-,-,-,-,-,-,-
"부산광역시","2016",34,378560,0,0,0,0,1,15922,0,0,1,16800,0,0,0,0,19,302095,0,0,0,0,13,43743,0,0
"부산광역시","2017",37,383574,0,0,0,0,2,17784,0,0,1,16800,0,0,0,0,21,305247,0,0,0,0,13,43743,0,0
"부산광역시","2018",40,414399,-,-,-,-,2,17784,-,-,1,16800,-,-,-,-,24,336072,-,-,-,-,13,43743,-,-
"부산광역시","2019",43,438410,-,-,-,-,2,17784,-,-,1,16800,-,-,-,-,25,336966,-,-,-,-,15,66860,-,-
"부산광역시","2020",44,444277,-,-,-,-,2,17784,-,-,1,16800,-,-,-,-,26,342833,-,-,-,-,15,66860,-,-
"부산광역시","2021",44,444268,-,-,-,-,2,17784,-,-,1,16800,-,-,-,-,26,342824,-,-,-,-,15,66860,-,-
"부산광역시","2022",45,449876,-,-,-,-,2,17784,-,-,1,16800,-,-,-,-,26,342824,-,-,-,-,16,72468,-,-
"부산광역시","2023",51,480847,-,-,-,-,2,17784,-,-,1,16800,2,18490,-,-,27,343184,1,9580,-,-,18,75009,-,-
"대구광역시","2005",3,20776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,20776,-,-,-,-,-,-,-,-
"대구광역시","2006",3,20776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,20776,-,-,-,-,-,-,-,-
"대구광역시","2007",4,37185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,37185,-,-,-,-,-,-,-,-
"대구광역시","2008",5,41667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,41667,-,-,-,-,-,-,-,-
"대구광역시","2009",5,45204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,45204,-,-,-,-,-,-,-,-
"대구광역시","2010",6,45518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,45518,-,-,-,-,-,-,-,-
"대구광역시","2011",5,41036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,41036,-,-,-,-,-,-,-,-
"대구광역시","2012",5,41036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,41036,-,-,-,-,-,-,-,-
