"지역별(1)","시점",사업체,사업체,사업체,사업체,사업체,사업체,사업체,사업체,구성비,구성비,구성비,구성비,구성비,구성비,구성비
"지역별(1)","시점",전체,여행업,관광숙박업,관광객이용시설업,국제회의업,카지노업,유원시설업,관광편의시설업,여행업,관광숙박업,관광객이용시설업,국제회의업,카지노업,유원시설업,관광편의시설업
"부산","2014",1226,852,68,13,43,2,17,231,69.5,5.5,1.1,3.5,0.2,1.4,18.8
"부산","2015",1400,927,93,10,44,2,62,252,66.2,6.6,0.7,3.1,0.1,4.4,18
"부산","2016",1741,1113,114,141,49,2,174,148,63.9,6.5,8.1,2.8,0.1,10,8.5
"부산","2017",1972,1250,147,139,47,2,226,161,63.4,7.5,7,2.4,0.1,11.5,8.2
"부산","2018",1977,1197,154,163,60,2,227,174,60.5,7.8,8.2,3,0.1,11.5,8.8
"부산","2019",1971,1224,163,167,74,2,161,180,62.1,8.3,8.5,3.8,0.1,8.2,9.1
"부산","2020",1892,1118,184,165,81,2,135,207,59.1,9.7,8.7,4.3,0.1,7.1,10.9
"부산","2021",2003,1174,200,191,88,2,120,228,58.6,10,9.5,4.4,0.1,6,11.4
"부산","2022",2021,1201,201,177,102,2,113,225,59.4,9.9,8.8,5,0.1,5.6,11.1
"부산","2023",2290,1368,244,226,113,2,114,223,59.7,10.7,9.9,4.9,0.1,5,9.7
"대구","2013",601,426,19,4,16,1,13,122,70.9,3.2,0.7,2.7,0.2,2.2,20.3
"대구","2014",662,456,19,2,22,1,20,142,68.9,2.9,0.3,3.3,0.2,3,21.5
"대구","2015",748,531,21,7,24,1,24,132,71,2.8,0.9,3.2,0.1,3.2,17.6
"대구","2016",917,630,21,39,27,1,64,135,68.7,2.3,4.3,2.9,0.1,7,14.7
"대구","2017",1033,689,26,49,30,1,99,139,66.7,2.5,4.7,2.9,0.1,9.6,13.5
"대구","2018",1021,665,23,52,35,1,103,141,65.1,2.3,5.1,3.4,0.1,10.1,13.8
"대구","2019",1007,646,27,53,38,1,95,147,64.2,2.7,5.3,3.8,0.1,9.4,14.6
"대구","2020",924,576,25,74,42,1,81,125,62.3,2.7,8,4.5,0.1,8.8,13.5
"대구","2021",949,607,33,62,44,1,85,117,63.9,3.5,6.6,4.6,0.1,9,12.3
"대구","2022",1002,628,33,89,45,1,85,121,62.7,3.3,8.9,4.5,0.1,8.5,12.1
"대구","2023",1100,668,39,124,44,1,92,132,60.7,3.5,11.3,4,0.1,8.4,12
"인천","2013",626,347,60,29,10,1,13,166,55.4,9.6,4.6,1.6,0.2,2.1,26.5
"인천","2014",694,385,74,10,14,1,21,189,55.5,10.7,1.4,2,0.1,3,27.2
"인천","2015",610,363,93,32,8,1,37,92,59.5,15.2,5.2,1.3,0.2,6.1,15.1
"인천","2016",859,405,115,108,7,1,63,160,47.1,13.4,12.6,0.8,0.1,7.3,18.6
"인천","2017",1016,499,126,130,24,1,94,143,49.1,12.4,12.8,2.4,0.1,9.3,14.1
"인천","2018",1025,449,147,135,11,1,140,143,43.8,14.3,13.2,1.1,0.1,13.7,14
"인천","2019",1044,420,161,156,11,1,156,139,40.2,15.4,14.9,1.1,0.1,14.9,13.3
"인천","2020",1030,402,160,171,12,1,151,133,39,15.5,16.6,1.2,0.1,14.7,12.9
"인천","2021",1072,460,93,232,12,1,142,132,42.9,8.7,21.7,1.1,0.1,13.2,12.3
"인천","2022",965,460,78,150,13,1,151,112,47.7,8.1,15.5,1.3,0.1,15.6,11.6
"인천","2023",1161,503,180,170,17,1,161,129,43.3,15.5,14.6,1.5,0.1,13.9,11.1
"광주","2013",409,311,19,0,8,0,5,66,76,4.6,0,2,0,1.2,16.1
