"시점","통계분류(1)",통계분류(2),공연장수,가동률
"2016","지역3",특별/광역시,718,67.3
"2016","지역3",광역도,550,30.6
"2016","지역4",수도권,641,63.2
"2016","지역4",비수도권,627,39.2
"2016","시설특성",중앙정부,33,82.5
"2016","시설특성",문예회관,388,35.6
"2016","시설특성",기타(공공),255,25.6
"2016","시설특성",대학로,152,97.8
"2016","시설특성",민간(대학로 외),440,61.9
"2016","운영주체2",공공,609,34
"2016","운영주체2",민간,659,67.5
"2017","전체",소계,1323,50.4
"2017","지역1",서울,450,70
"2017","지역1",부산,80,57.5
"2017","지역1",대구,67,42.6
"2017","지역1",인천,43,49.9
"2017","지역1",광주,40,47.3
"2017","지역1",대전,44,58.3
"2017","지역1",울산,22,58.1
"2017","지역1",세종,2,45.1
"2017","지역1",경기,171,34.7
"2017","지역1",강원,56,30.1
"2017","지역1",충북,28,36.2
"2017","지역1",충남,52,28.7
"2017","지역1",전북,46,41.1
"2017","지역1",전남,56,24.6
"2017","지역1",경북,60,28.9
"2017","지역1",경남,74,33.1
"2017","지역1",제주,32,66.7
"2017","지역2",서울,450,70
"2017","지역2",경기/인천,214,37.8
"2017","지역2",강원,56,30.1
"2017","지역2",충청,126,40.9
"2017","지역2",전라,142,36.3
"2017","지역2",경상,303,42.6
"2017","지역2",제주,32,66.7
"2017","지역3",특별/광역시,748,62.7
"2017","지역3",광역도,575,34.3
"2017","지역4",수도권,664,59.6
"2017","지역4",비수도권,659,41.1
"2017","시설특성",중앙정부,38,72.3
"2017","시설특성",문예회관,419,37.2
"2017","시설특성",기타(공공),268,34
"2017","시설특성",대학로,147,85.6
"2017","시설특성",민간(대학로 외),451,58.9
"2017","운영주체2",공공,660,38.2
"2017","운영주체2",민간,663,62.5
"2018","전체",소계,1324,47
"2018","지역1",서울,449,70.1
"2018","지역1",부산,80,47
"2018","지역1",대구,71,39
"2018","지역1",인천,44,33.2
"2018","지역1",광주,40,37.1
"2018","지역1",대전,43,55.2
"2018","지역1",울산,21,45.5
"2018","지역1",세종,2,17.2
"2018","지역1",경기,171,33.3
"2018","지역1",강원,54,27.4
"2018","지역1",충북,28,34.2
"2018","지역1",충남,49,24.8
"2018","지역1",전북,54,37.2
"2018","지역1",전남,56,24.6
"2018","지역1",경북,59,24.6
"2018","지역1",경남,73,24.6
"2018","지역1",제주,30,65.8
"2018","지역2",서울,449,70.1
"2018","지역2",경기/인천,215,33.3
"2018","지역2",강원,54,27.4
"2018","지역2",충청,122,37.5
"2018","지역2",전라,150,32.5
"2018","지역2",경상,304,35.3
"2018","지역2",제주,30,65.8
"2018","지역3",특별/광역시,750,59.1
"2018","지역3",광역도,574,31.3
"2018","지역4",수도권,664,58.2
"2018","지역4",비수도권,660,35.8
"2018","시설특성",중앙정부,37,69.7
"2018","시설특성",문예회관,421,37.1
"2018","시설특성",기타(공공),274,24.6
"2018","시설특성",대학로,135,93.4
"2018","시설특성",민간(대학로 외),457,54.1
"2018","운영주체2",공공,668,34.5
"2018","운영주체2",민간,656,59.7
