region,year,count,population,get_culture,museum,museum_pub,museum_pri,museum_col,gallery,gallery_pub,gallery_pri,gallery_col
전남,2022,230 ,"1,817,697 ",1.26534,65,39,20,3,11,3,11,0
경북,2022,221 ,"2,600,492 ",0.84984,75,42,23,10,10,5,5,1
경남,2022,228 ,"3,280,493 ",0.69502,77,49,23,5,11,5,6,0
제주,2022,130 ,"678,159 ",1.91695,62,17,44,1,21,7,14,0
계,2023,"3,248 ","51,325,329 ",0.63283,913,443,365,105,286,80,192,14
서울,2023,449 ,"9,386,034 ",0.47837,135,40,67,28,43,5,34,4
부산,2023,143 ,"3,293,362 ",0.43421,32,19,13,0,9,2,5,2
대구,2023,95 ,"2,374,960 ",0.40001,16,8,6,2,4,0,4,0
인천,2023,127 ,"2,997,410 ",0.42370,16,10,6,0,5,1,3,1
광주,2023,78 ,"1,419,237 ",0.54959,10,3,6,1,3,1,2,0
대전,2023,63 ,"1,442,216 ",0.43683,5,5,0,0,7,5,2,0
울산,2023,46 ,"1,103,661 ",0.41679,4,0,4,0,9,1,1,0
세종,2023,26 ,"386,525 ",0.67266,7,3,4,0,4,0,0,0
경기,2023,609 ,"13,630,821 ",0.44678,128,55,61,12,59,15,41,3
강원,2023,246 ,"1,527,807 ",1.61015,100,49,46,5,21,5,16,0
충북,2023,192 ,"1,593,469 ",1.20492,42,26,11,5,11,5,5,1
충남,2023,193 ,"2,130,119 ",0.90605,63,36,21,6,10,2,8,0
전북,2023,191 ,"1,754,757 ",1.08847,43,30,9,4,7,4,7,0
전남,2023,244 ,"1,804,217 ",1.35239,62,39,20,3,11,3,11,0
경북,2023,232 ,"2,554,324 ",0.90826,77,44,23,10,10,5,5,1
경남,2023,235 ,"3,251,158 ",0.72282,78,49,23,6,10,5,5,0
제주,2023,131 ,"675,252 ",1.94002,61,17,43,1,22,7,15,0
계,2024,"3,294 ","51,217,221 ",0.64314,916,447,364,105,288,80,194,14
서울,2024,469 ,"9,331,828 ",0.50258,135,40,67,28,44,5,36,3
부산,2024,144 ,"3,266,598 ",0.44083,32,19,13,0,10,2,9,2
대구,2024,102 ,"2,363,629 ",0.43154,19,8,9,2,4,0,4,0
인천,2024,108 ,"3,021,010 ",0.35750,14,7,6,1,6,1,4,1
광주,2024,83 ,"1,408,422 ",0.58931,9,3,4,2,5,1,3,1
대전,2024,62 ,"1,439,157 ",0.43081,15,4,7,4,7,4,2,1
울산,2024,50 ,"1,098,049 ",0.45535,10,1,9,0,9,1,1,0
세종,2024,26 ,"390,685 ",0.66550,6,3,3,0,3,0,0,0
경기,2024,622 ,"13,694,685 ",0.45419,129,57,60,12,59,15,41,3
강원,2024,247 ,"1,517,766 ",1.62739,100,49,46,5,20,5,15,0
충북,2024,142 ,"1,591,177 ",0.89242,41,25,11,5,11,5,5,1
충남,2024,199 ,"2,136,574 ",0.93140,64,37,21,6,10,2,8,0
전북,2024,188 ,"1,738,690 ",1.08127,45,32,9,4,7,4,7,0
전남,2024,240 ,"1,788,819 ",1.34167,63,39,21,3,11,3,11,0
경북,2024,224 ,"2,531,384 ",0.88489,74,43,22,9,9,5,5,1
경남,2024,233 ,"3,228,380 ",0.72172,78,49,23,6,10,5,5,0
제주,2024,126 ,"670,368 ",1.87956,61,17,43,1,21,7,14,0
