지점명,지점번호,평균기온(°C),최고기온(°C),최저기온(°C),강수량(mm),습도(%),일조시간(hr),전운량(1/10),소형증발량(mm),현지기압(hPa),해면기압(hPa),평균풍속(m/sec)
연천청산,652,11.4,17.7,5.9,1295.8,,,,,,,1.1
양양,670,12.8,17.1,8.7,1311.2,,,,,,,2.6
사북,674,8.6,13.6,4.2,1257.1,,,,,,,2.9
무안,699,13.4,18.4,9.1,1290.1,,,,,,,2
무주,701,11.6,18.3,5.9,1105.3,,,,,,,1.3
익산,702,13.2,18.9,8.2,1157.3,,,,,,,1.6
진안,703,10.8,17.4,5.3,1324.7,,,,,,,1.5
담양,706,13.2,19.3,8,1344,,,,,,,1.7
광산,708,13.7,19.6,8.5,1260.6,,,,,,,1.8
구례,709,13.4,20.1,8,1296,,,,,,,1.4
나주,710,13.6,19.8,8.6,1310.4,,,,,,,1.5
순천시,712,14.8,19.7,10.7,1467.4,,,,,,,2
광양읍,713,14.4,20.3,9.6,1424.3,,,,,,,1.5
조선대,722,14.2,19.4,9.9,1330.9,,,,,,,1.9
거문도,723,15.5,18.4,13.2,1338.2,,,,,,,4
추자도,724,15,17.7,12.8,1127.7,,,,,,,4
장성,730,12.9,19.2,7.9,1339.7,,,,,,,1.5
영암,731,13.7,19.3,8.9,1218.4,,,,,,,2
보성,732,12.5,18.5,7.4,1542.2,,,,,,,1.7
완주,734,13,19.4,7.6,1296.1,,,,,,,1.7
김제,737,13.3,18.8,8.9,1089.9,,,,,,,2.2
화순,741,13.4,19.8,8.3,1308,,,,,,,1.2
함평,754,13.8,19.3,9.1,1256.1,,,,,,,1.7
곡성,768,13,19.4,7.8,1332.9,,,,,,,1.3
성판악,782,10.9,14.6,7.6,4381,,,,,,,2.9
풍암,788,14.2,20,9.3,1381.4,,,,,,,1.3
압해도,789,13.9,18.3,10.4,1124.8,,,,,,,3
영양,801,11.2,17.7,5.5,996.7,,,,,,,1.5
성주,810,13,19.5,7.1,1126.1,,,,,,,1.3
고령,812,12.8,19.8,6.9,1235.4,,,,,,,0.9
청도,813,12.9,19.7,7.2,1196.9,,,,,,,1.4
예천,815,11.9,18.7,6.2,1057.3,,,,,,,1.2
김천,822,12.8,19.4,7,1068.2,,,,,,,1.2
군위,823,11.8,19,5.9,987.5,,,,,,,1.5
칠곡,825,13.3,19.7,7.9,1041.5,,,,,,,1.9
경산,827,14.1,20,9.2,1091.7,,,,,,,1.9
달성,828,14.1,20.4,9,1122.6,,,,,,,1.6
대구서구,846,14.5,19.9,9.8,1107.2,,,,,,,1.8
신암,860,14.5,19.8,10,1080.8,59.1,2275.9,4.7,,1009.4,1016.6,2.2
완산,864,13.7,19.2,8.9,1299.3,68,2059,5,1034.8,1009.9,1016.4,1.7
삼척,876,13.3,17.6,9.5,1258.2,,,,,,,2
울기,901,14.2,17.9,11.3,1169.2,,,,,,,2.5
삼천포,907,14.7,18.9,11.3,1446.3,,,,,,,2
영도,910,14.4,17.7,11.5,1285.6,,,,,,,3.6
고성,918,14.2,19.8,9.3,1470.4,,,,,,,2
창녕,919,13.5,20.4,7.6,1192.6,,,,,,,1.8
함안,920,13.2,20.7,7.2,1277.1,,,,,,,1.2
가덕도,921,14.8,18.6,11.9,1118,,,,,,,4
기장,923,14.4,19.2,10,1451.9,,,,,,,1.9
간절곶,924,14.4,17.7,11.3,1327.1,,,,,,,3.7
하동,932,14.5,20.3,9.5,1675.1,,,,,,,1.5
해운대,937,15.1,19.4,11.5,1509.7,,,,,,,2.4
부산진,938,15,19.3,11.4,1521.6,,,,,,,2.2
동래,940,15.1,19.7,11.2,1482.7,,,,,,,1.9
북구,941,14.6,19.1,10.8,1398.5,,,,,,,2.1
부산남구,942,15.4,19.1,12,1514,,,,,,,2.1
정자,949,14.4,19,10,1334.9,,,,,,,3
