,포지션,회사명,지역명,경력,링크
354,글로벌 빅데이터 플랫폼 BI 솔루션 개발/운영 (Data Analysis),펑타이그레이터차이나(피티코리아),서울 강남구 , 경력 3-7년,/wd/249514
355,AI연구소 AI기반연구팀 팀장 (7년 이상),아이스크림아트,서울 강남구 , 경력 7년 이상,/wd/254617
356,AI 연동 서비스 개발자,아이스크림아트,서울 강남구 , 경력 7-9년,/wd/263225
357,전문연구요원_AI 개발자 (병역 특례),와디즈,경기 성남시 , 신입,/wd/263224
358,Operation / Digital Consultant,코너스톤파트너스디지털,서울 강남구 , 신입-경력 5년,/wd/178246
359,자율주행 로봇 개발자,베스텔라랩,경기 안양시 , 경력 2년 이상,/wd/244675
360,프롬프트 엔지니어,베스텔라랩,경기 안양시 , 경력 5년 이상,/wd/244674
361,빅데이터 개발자(전문연구요원가능),베스텔라랩,경기 안양시 , 신입 이상,/wd/230664
362,자율주행 연구원(전문연구요원가능),베스텔라랩,경기 안양시 , 경력 2년 이상,/wd/229472
363,영상 처리 연구/개발(전문연구요원가능),베스텔라랩,경기 안양시 , 경력 2년 이상,/wd/229465
364,데이터 엔지니어,오픈놀,서울 마포구 , 경력 2년 이상,/wd/263124
365,Cyber Threat Analyst (사이버 위협 분석가),에스투더블유(S2W),경기 성남시 , 신입,/wd/237795
366,Senior Threat Analyst (시니어 위협 분석가),에스투더블유(S2W),경기 성남시 , 경력 3-10년,/wd/232172
367,API 시스템 개발/운영 (리더급/시니어),기웅정보통신,서울 금천구 , 경력 5-15년,/wd/253786
368,ML Researcher,메이아이,서울 강남구 , 경력 2년 이상,/wd/110601
369,Research Engineer,엘박스,서울 강남구 , 경력 3-10년,/wd/239644
370,"ML engineer/ AI researcher (전문연구요원 - 보충역, 전직자)",알세미,서울 강남구 , 신입-경력 2년,/wd/262796
371,ML engineer/ AI researcher (Junior),알세미,서울 강남구 , 신입-경력 5년,/wd/262798
