,포지션,회사명,지역명,경력,링크
82,[병역특례] Windows 개발자(산업기능요원/보충역/전직),페이타랩(패스오더),서울 강남구 , 신입-경력 10년,/wd/242364
83,"Windows 개발자 (C#, WPF)",페이타랩(패스오더),서울 강남구 , 신입-경력 10년,/wd/242362
84,백엔드 개발자 (8년 이상),워트인텔리전스,서울 서초구 , 경력 8-12년,/wd/257202
85,모바일 App 서비스 모의해킹 담당자,카카오페이증권(kakaopay증권),경기 성남시 , 경력 5년 이상,/wd/267587
86,Back-end Engineer,부릉,서울 서초구 , 경력 7-15년,/wd/257009
87,iOS 개발자 (3년 이상),레벨13(룩핀),서울 강남구 , 경력 3-5년,/wd/261101
88,[잡플래닛] Software Architect(Team Lead),브레인커머스,서울 강남구 , 경력 10-20년,/wd/267583
89,WPF Engineer (C# windows 개발자),부릉,서울 서초구 , 경력 3년 이상,/wd/244370
90,[잡플래닛] Sr.Data Engineer,브레인커머스,서울 강남구 , 경력 5-13년,/wd/117898
91,웹개발자/앱개발자,지피에이코리아,서울 강남구 , 신입,/wd/267580
92,Site Reliability Engineer,불마켓랩스,서울 강남구 , 경력 3-10년,/wd/213109
93,Back-End Engineer,불마켓랩스,서울 강남구 , 경력 7-10년,/wd/202870
94,Front-End Engineer,불마켓랩스,서울 강남구 , 경력 5-10년,/wd/202867
95,QA Engineer,불마켓랩스,서울 강남구 , 경력 3-10년,/wd/254794
96,플러터(Flutter) 모바일 애플리케이션 개발자 (3-7년차 이상),젠다카디언,서울 종로구 , 경력 3-7년,/wd/267555
97,"이커머스 백엔드, 서버 개발 담당자",브이에이트코프,서울 강남구 , 신입,/wd/267573
98,Python 개발자(4년 이상),자이온아이티에스,서울 서초구 , 경력 4-11년,/wd/267569
99,프론트엔드 개발자,아이씨티케이,서울 강남구 , 신입,/wd/267568
100,Staff Backend Engineer (Service Engineering),쿠팡,서울 강남구 , 경력 5년 이상,/wd/229418
101,LLM Agent 개발자,온더플라이,서울 관악구 , 신입,/wd/267543
102,"[쿠팡페이] Staff, Back-end Engineer (Payment)",쿠팡,서울 강남구 , 경력 8-20년,/wd/266402
103,Staff Backend Engineer (Core Serving),쿠팡,서울 강남구 , 경력 5년 이상,/wd/266224
104,"Staff, Front-end Engineer(Fintech Frontend)",쿠팡,서울 강남구 , 경력 7-17년,/wd/266805
105,"Staff, iOS Engineer (e-Commerce engineering)",쿠팡,서울 강남구 , 경력 7-20년,/wd/266225
106,Security Engineer,토스플레이스,서울 강남구 , 경력 5-12년,/wd/267556
107,보안 분석 엔지니어(Security Analyst Engineer),모인(MOIN),서울 강남구 , 경력 3년 이상,/wd/262001
108,엔드포인트 보안 엔지니어(Endpoint Security Engineer),모인(MOIN),서울 강남구 , 경력 3년 이상,/wd/261797
109,Front-End Engineer,플랜바이테크놀로지스,서울 강남구 , 경력 1-10년,/wd/267443
110,백엔드 개발자 (UMS메시지/Push 서비스 개발 및 유지보수) (3년이상),인포뱅크,경기 의왕시 , 경력 3-10년,/wd/256225
111,[플레이오] Python 백엔드 개발,지엔에이컴퍼니,서울 서초구 , 경력 3년 이상,/wd/193602
112,DevSecOps Engineer,레브잇,서울 관악구 , 경력 3-7년,/wd/260176
113,Software Engineer (백엔드),레브잇,서울 관악구 , 경력 3년 이상,/wd/260180
114,QA Engineer,레브잇,서울 관악구 , 경력 3년 이상,/wd/260179
115,Sr. Software Engineer (프론트엔드),레브잇,서울 관악구 , 경력 5년 이상,/wd/260181
116,Data Engineer,레브잇,서울 관악구 , 경력 7년 이상,/wd/260184
117,Software Engineer (프론트엔드),레브잇,서울 관악구 , 경력 3년 이상,/wd/260182
118,Sr. Software Engineer (백엔드),레브잇,서울 관악구 , 경력 5년 이상,/wd/260183
119,Sr. Data Analyst,레브잇,서울 관악구 , 경력 5년 이상,/wd/266293
120,서버 엔지니어 (Kotlin/Spring),페이히어,서울 강남구 , 경력 3-15년,/wd/230925
121,QA (Lead),코넥티브,서울 강남구 , 경력 10-15년,/wd/267484
122,Frontend Tech Leader,코인원(coinone),서울 영등포구 , 경력 8년,/wd/267520
123,Blockchain Tech Leader,코인원(coinone),서울 영등포구 , 경력 10년,/wd/267521
124,Head of Data,쏘카(SOCAR),서울 성동구 , 경력 10-30년,/wd/267517
125,Junior Security Engineer,프렉스코리아(Prex),서울 영등포구 , 신입,/wd/267505
126,Software Engineer(Backend),피에프씨테크놀로지스,서울 서초구 , 경력 2년 이상,/wd/267511
127,산업용 3D프린터 PC제어/SW (연구직),링크솔루션,경기 안양시 , 경력 3년 이상,/wd/267451
128,"SI 업무 분석,설계,개발 (5년이상)",스카이웨어,서울 마포구 , 경력 5-15년,/wd/255842
129,[인턴] [채널톡] AI Team,채널코퍼레이션,서울 강남구 , 신입,/wd/168348
130,AI Engineer,파워테스크,서울 강남구 , 경력 2-15년,/wd/267405
131,신사업팀 백엔드(node.js) 개발자 4~8년,주토피아프레시,서울 서초구 , 경력 4-7년,/wd/267138
132,Application SW 개발자,코넥티브,서울 강남구 , 경력 5-12년,/wd/267482
133,Test Engineer,글로벌모터서비스,인천 서구 , 경력 1-10년,/wd/267477
134,Backend Developer (Middle),바비톡,서울 서초구 , 경력 5년 이상,/wd/233087
135,Backend Developer (Senior),바비톡,서울 서초구 , 경력 7년 이상,/wd/228215
136,리눅스 App. 개발자,코넥티브,서울 강남구 , 경력 5-12년,/wd/267479
137,ISMS 정보보호 컨설팅(관리/개인정보),이지시큐,경기 성남시 , 경력 1-10년,/wd/267480
138,[DATA&AI] AI Engineer,베이글코드(Bagelcode),서울 강남구 , 경력 1-5년,/wd/267481
139,[DIG] QA,베이글코드(Bagelcode),서울 강남구 , 경력 3-5년,/wd/262044
140,Front-End 개발(3년 이상),빅밸류,서울 중구 , 경력 3년 이상,/wd/267476
141,MS엔지니어 / 7년 이상,필라넷,서울 강남구 , 경력 7-20년,/wd/266068
142,Frontend Engineer(포트폴리오 제출 필수),코넥티브,서울 강남구 , 경력 5-12년,/wd/267475
143,"[Biotech] C#, React Software Engineer",셀틱스테크놀로지,경기 용인시 , 경력 2-8년,/wd/223236
144,백엔드 개발자 (3~5년차),리원엑스,서울 강남구 , 경력 3-5년,/wd/267452
145,시뮬레이션 소프트웨어 개발자 (풀스택/백엔드),에브리심,대전 유성구 , 경력 3년 이상,/wd/257679
146,AI Engineer,플랜바이테크놀로지스,서울 강남구 , 경력 1-10년,/wd/249770
147,Back-End Engineer,플랜바이테크놀로지스,서울 강남구 , 경력 1-10년,/wd/249733
148,Backend Engineer,두잇 (Doeat),서울 관악구 , 경력 1-3년,/wd/234830
149,[서울본사] Android 개발자 (3년 이상),라바웨이브,서울 강남구 , 경력 3-8년,/wd/267459
150,[서울본사] iOS개발자 (3년 이상),라바웨이브,서울 강남구 , 경력 3-8년,/wd/267455
151,Front-end Developer (Design System),오케스트로,서울 영등포구 , 경력 3-12년,/wd/247652
152,QA Lead,핀다(FINDA),서울 , 경력 10년 이상,/wd/267448
153,서비스플랫폼팀 리드 (개발 팀장),스토어링크,서울 중구 , 경력 6-10년,/wd/267447
154,풀스택 개발자,알엔알(RNR),서울 성동구 , 경력 8년 이상,/wd/245197
155,iOS Developer,쏘카(SOCAR),서울 성동구 , 경력 1-7년,/wd/264156
156,플러터.프론트엔드 개발자 (0-5년차),플리더스,경기 고양시 , 신입-경력 5년,/wd/267289
157,Head of Architect,인터엑스,서울 금천구 , 경력 10년 이상,/wd/263041
158,Backend Engineer (백엔드 개발) 팀장 채용,멸치,서울 송파구 , 경력 7-20년,/wd/267406
159,CSV Specialist / 2년이상,셀타스퀘어,서울 강남구 , 경력 2년 이상,/wd/267425
160,자바 개발자 [전략서비스팀],원티드랩,서울 송파구 , 경력 7년 이상,/wd/266860
161,딜리버리센터 TPM(Technical Program Manager),우아한형제들(배달의민족),서울 송파구 , 경력 5년 이상,/wd/267420
162,프론트앤드 엔지니어,파워테스크,서울 강남구 , 경력 7-15년,/wd/267410
163,Back-end SWE,휴이노,서울 강남구 , 경력 5년 이상,/wd/267392
164,솔루션사업본부 LBM 알고리즘 개발,이에이트,서울 송파구 , 경력 3-15년,/wd/218920
165,솔루션사업본부 SPH 알고리즘 개발,이에이트,서울 송파구 , 경력 3-15년,/wd/218921
166,"CTO (Gen AI, 머신 러닝)",링크12,서울 강남구 , 경력 5-10년,/wd/263133
167,방화벽 관리 솔루션 개발자,위드네트웍스,서울 강서구 , 경력 2-7년,/wd/261435
168,패션 플랫폼 Node.js 백엔드 개발자,페칭,서울 서초구 , 경력 4년 이상,/wd/139191
169,패션 플랫폼 Node.js 백엔드 개발자 주니어 [보충역],페칭,서울 서초구 , 신입,/wd/234680
170,DevOps 엔지니어,더블유컨셉코리아(W컨셉),서울 영등포구 , 경력 5년 이상,/wd/253194
171,[원티드단독]시니어 AI 엔지니어,웨이커,서울 강남구 , 경력 7-12년,/wd/267362
172,백엔드 개발자,더블유컨셉코리아(W컨셉),서울 영등포구 , 경력 4-12년,/wd/249123
173,프론트엔드 개발자,더블유컨셉코리아(W컨셉),서울 영등포구 , 경력 4-12년,/wd/252312
174,SCM 개발자(시니어),미트박스글로벌,서울 강남구 , 경력 10-13년,/wd/259172
175,[Poker]Project Manager for Development,앤서스랩코리아,서울 강남구 , 신입,/wd/245165
176,[서울][데이터분석팀]게임 데이터 분석가 (4년 이하),트리노드,서울 강남구 , 경력 1-4년,/wd/249546
177,백엔드 개발자 (3-10년차),지니파이,서울 강남구 , 경력 3-10년,/wd/267069
178,백엔드(Node.js) 개발자,패스트파이브,서울 강남구 , 경력 3-5년,/wd/267312
179,Data Engineer (5년 이상),알스퀘어,서울 강남구 , 경력 5-20년,/wd/244076
180,React 프론트엔드 개발자,스튜디오키코,서울 성동구 , 경력 2-7년,/wd/234462
181,Backend Engineer (3년 이상),카펜스트리트(에이콘3D),서울 강남구 , 경력 3년 이상,/wd/260428
182,프롬프트 엔지니어,버블탭,서울 강남구 , 경력 2년 이상,/wd/265769
183,[인턴] 프론트 개발자(React / React Native),낭만상회,서울 강남구 , 신입,/wd/267320
184,데이터엔지니어,블리몽키즈,서울 마포구 , 경력 3-10년,/wd/264097
185,아파트사업본부 APP(아보카도)개발팀 Lead,더즌(dozn),서울 서초구 , 경력 10-15년,/wd/267313
186,Backend Engineer,라이드,서울 서초구 , 경력 3-7년,/wd/260761
187,Frontend Engineer (3~5년),라이드,서울 서초구 , 경력 3-5년,/wd/264879
188,Mid-level Full Stack Developer (전문연구요원 가능),어크로스비,서울 서초구 , 경력 3-8년,/wd/266750
189,웹 프론트엔드(React) 개발자,패스트파이브,서울 강남구 , 경력 4-7년,/wd/267309
190,Flutter 크로스플랫폼 앱 개발자 (2년이상),스튜디오프리윌루전,서울 서초구 , 경력 2년 이상,/wd/267295
191,[데이터사업부]상주 개발 담당자 (청주),위즈코어,충북 청주시 , 경력 5년 이상,/wd/262223
