기준일자,주요국가대륙명,국가명,목적구분,인원,전년동기,증감률
2018,아메리카,연도대륙,공용,28859.0,27976.0,3.2
2018,아메리카,연도대륙,유학연수,6953.0,6872.0,1.2
2018,아메리카,연도대륙,기타,248814.0,244967.0,1.6
2018,아메리카,연도대륙,전체,1242792.0,1117107.0,11.3
2018,아메리카,미국,관광,748967.0,654986.0,14.3
2018,아메리카,미국,상용,4041.0,4579.0,-11.7
2018,아메리카,미국,공용,28027.0,27341.0,2.5
2018,아메리카,미국,유학연수,4139.0,3952.0,4.7
2018,아메리카,미국,기타,182818.0,178023.0,2.7
2018,아메리카,미국,전체,967992.0,868881.0,11.4
2018,아메리카,캐나다,관광,143354.0,125537.0,14.2
2018,아메리카,캐나다,상용,510.0,530.0,-3.8
2018,아메리카,캐나다,공용,300.0,221.0,35.7
2018,아메리카,캐나다,유학연수,595.0,721.0,-17.5
2018,아메리카,캐나다,기타,49500.0,49247.0,0.5
2018,아메리카,캐나다,전체,194259.0,176256.0,10.2
2018,아메리카,브라질,관광,15115.0,13138.0,15.0
2018,아메리카,브라질,상용,135.0,134.0,0.7
2018,아메리카,브라질,공용,150.0,107.0,40.2
2018,아메리카,브라질,유학연수,337.0,303.0,11.2
2018,아메리카,브라질,기타,4008.0,4164.0,-3.7
2018,아메리카,브라질,전체,19745.0,17846.0,10.6
2018,아메리카,멕시코,관광,18944.0,14536.0,30.3
2018,아메리카,멕시코,상용,75.0,87.0,-13.8
2018,아메리카,멕시코,공용,63.0,57.0,10.5
2018,아메리카,멕시코,유학연수,700.0,803.0,-12.8
2018,아메리카,멕시코,기타,5410.0,4588.0,17.9
2018,아메리카,멕시코,전체,25192.0,20071.0,25.5
2018,아메리카,기타,관광,26775.0,23472.0,14.1
2018,아메리카,기타,상용,250.0,293.0,-14.7
2018,아메리카,기타,공용,319.0,250.0,27.6
2018,아메리카,기타,유학연수,1182.0,1093.0,8.1
2018,아메리카,기타,기타,7078.0,8945.0,-20.9
2018,아메리카,기타,전체,35604.0,34053.0,4.6
2018,유럽,연도대륙,관광,748357.0,669488.0,11.8
2018,유럽,연도대륙,상용,16203.0,21107.0,-23.2
2018,유럽,연도대륙,공용,2430.0,2120.0,14.6
2018,유럽,연도대륙,유학연수,16753.0,16023.0,4.6
2018,유럽,연도대륙,기타,219877.0,227319.0,-3.3
2018,유럽,연도대륙,전체,1003620.0,936057.0,7.2
2018,유럽,러시아,관광,214665.0,187277.0,14.6
2018,유럽,러시아,상용,1663.0,1750.0,-5.0
2018,유럽,러시아,공용,287.0,303.0,-5.3
2018,유럽,러시아,유학연수,1784.0,1636.0,9.0
2018,유럽,러시아,기타,84143.0,79461.0,5.9
2018,유럽,러시아,전체,302542.0,270427.0,11.9
2018,유럽,영국,관광,108601.0,101829.0,6.7
2018,유럽,영국,상용,1905.0,2967.0,-35.8
2018,유럽,영국,공용,193.0,168.0,14.9
2018,유럽,영국,유학연수,620.0,550.0,12.7
2018,유럽,영국,기타,19658.0,20510.0,-4.2
2018,유럽,영국,전체,130977.0,126024.0,3.9
2018,유럽,독일,관광,93709.0,86796.0,8.0
2018,유럽,독일,상용,2720.0,2805.0,-3.0
2018,유럽,독일,공용,378.0,261.0,44.8
2018,유럽,독일,유학연수,2833.0,2827.0,0.2
2018,유럽,독일,기타,16149.0,17171.0,-6.0
2018,유럽,독일,전체,115789.0,109860.0,5.4
2018,유럽,프랑스,관광,78982.0,70409.0,12.2
2018,유럽,프랑스,상용,2855.0,4184.0,-31.8
2018,유럽,프랑스,공용,429.0,426.0,0.7
2018,유럽,프랑스,유학연수,4487.0,4275.0,5.0
2018,유럽,프랑스,기타,13343.0,13053.0,2.2
2018,유럽,프랑스,전체,100096.0,92347.0,8.4
2018,유럽,이탈리아,관광,35029.0,29457.0,18.9
2018,유럽,이탈리아,상용,762.0,737.0,3.4
2018,유럽,이탈리아,공용,163.0,154.0,5.8
2018,유럽,이탈리아,유학연수,563.0,553.0,1.8
2018,유럽,이탈리아,기타,10029.0,13179.0,-23.9
2018,유럽,이탈리아,전체,46546.0,44080.0,5.6
2018,유럽,네덜란드,관광,28879.0,24875.0,16.1
2018,유럽,네덜란드,상용,397.0,506.0,-21.5
2018,유럽,네덜란드,공용,114.0,102.0,11.8
2018,유럽,네덜란드,유학연수,1005.0,1057.0,-4.9
2018,유럽,네덜란드,기타,6739.0,7098.0,-5.1
2018,유럽,네덜란드,전체,37134.0,33638.0,10.4
2018,유럽,우크라이나,관광,8065.0,8090.0,-0.3
2018,유럽,우크라이나,상용,1231.0,1196.0,2.9
2018,유럽,우크라이나,공용,57.0,22.0,159.1
2018,유럽,우크라이나,유학연수,214.0,171.0,25.1
2018,유럽,우크라이나,기타,16041.0,17938.0,-10.6
2018,유럽,우크라이나,전체,25608.0,27417.0,-6.6
2018,유럽,스페인,관광,22923.0,18697.0,22.6
2018,유럽,스페인,상용,236.0,278.0,-15.1
2018,유럽,스페인,공용,103.0,112.0,-8.0
2018,유럽,스페인,유학연수,807.0,840.0,-3.9
2018,유럽,스페인,기타,3245.0,3378.0,-3.9
2018,유럽,스페인,전체,27314.0,23305.0,17.2
2018,유럽,루마니아,관광,5437.0,5118.0,6.2
2018,유럽,루마니아,상용,108.0,202.0,-46.5
2018,유럽,루마니아,공용,49.0,32.0,53.1
2018,유럽,루마니아,유학연수,103.0,106.0,-2.8
2018,유럽,루마니아,기타,5675.0,7239.0,-21.6
2018,유럽,루마니아,전체,11372.0,12697.0,-10.4
2018,유럽,노르웨이,관광,10460.0,10904.0,-4.1
2018,유럽,노르웨이,상용,1626.0,3129.0,-48.0
2018,유럽,노르웨이,공용,25.0,36.0,-30.6
