
항공사,항공편명,목적지,계획,예상,출발,구분,현황,비정상원인,비고에어아시아버하드,AK1623,BKI(코타키나발루),00:05,01:02,00:56,여객,지연,항공기 연결(도착지연),NaN
필리핀항공,PR468,MNL(마닐라),19:25,19:52,19:41,여객,지연,항공기 연결(도착지연),
대한항공,KE770,CTS(삿포로),19:30,19:53,19:43,여객,지연,"공항, 관제 사유 접속 지연",
중국센트럴항공,I98805,WUX(수난 슈오팡 국제공항),19:50,20:09,20:09,화물,지연,항공기 연결(도착지연),
에어서울,RS812,DYG(장가계),19:55,20:21,20:13,여객,지연,,
제주항공,7C4408,TAG(팡라로),20:05,20:22,20:16,여객,지연,,
젯스타 에어웨이즈,JQ53,BNE(브리즈번),20:15,20:45,20:41,여객,지연,정시 출발하였으나 해당 공항에 접속 지연,
대한항공,KE412,AKL(오클랜드),20:20,20:31,20:22,여객,지연,[기상]출발공항 지상조업(악기상),
콴타스항공,QF87,SYD(시드니),20:25,21:21,21:14,여객,지연,항공기 청소,
중국동방항공,MU2043,TAO(청도),20:40,20:59,20:52,여객,지연,항공기 연결(도착지연),
아시아나항공,OZ714,TPE(타이완 타오위안 국제 공항),20:40,20:59,20:50,여객,지연,,
대한항공,KE558,KKJ(기타규슈),20:45,23:34,23:28,화물,지연,기타(접속 관련),
대한항공,KE422,GUM(괌),20:45,21:06,20:58,여객,지연,보안점검 요청(기장),
진에어,LJ268,FUK(후쿠오카),20:55,21:37,21:26,여객,지연,정시 출발하였으나 해당 공항에 접속 지연,
진에어,LJ240,KIX(간사이),21:00,21:20,21:12,여객,지연,"공항, 관제 사유 접속 지연",
진에어,LJ348,NGO(나고야),21:05,21:02,20:54,여객,지연,정시 출발하였으나 해당 공항에 접속 지연,
티웨이항공,TW216,NRT(도쿄/나리타),21:10,21:26,21:18,여객,지연,,
대한항공,KE552,NRT(도쿄/나리타),21:15,22:18,22:11,화물,지연,,
에어마카오,NX826,MFM(마카오),21:25,22:24,22:19,여객,지연,항공기 연결(도착지연),
티웨이항공,TW502,SYD(시드니),21:30,22:14,22:05,여객,지연,,
폴라에어카고,PO934,LAX(로스앤젤레스),21:30,22:50,22:42,화물,지연,항공기 연결(도착지연),
제주항공,7C1305,KIX(간사이),21:40,22:01,21:56,여객,지연,,
대한항공,KE782,FUK(후쿠오카),22:35,23:02,22:54,여객,지연,,
필리핀에어아시아,Z2888,MNL(마닐라),22:40,23:13,23:08,여객,지연,항공기 연결(도착지연),
대한항공,KE141P,GMP(김포),22:50,23:13,23:03,,지연,,
에티오피안항공,ET673,NRT(도쿄/나리타),23:20,23:50,23:41,여객,지연,항공기 연결(도착지연),
